ECRY2_DN0_c0_g12446_i1.p1	GO:0017018, GO:0006470, GO:0005634
ECRY2_DN0_c0_g4148_i1.p1	GO:0005576, GO:0005515, GO:0051028, GO:0003723
ECRY2_DN0_c0_g2402_i1.p1	GO:0005690, GO:0046540, GO:0042254, GO:0071005, GO:0030622, GO:0005634, GO:0005730, GO:0000398
ECRY2_DN0_c0_g6994_i1.p1	GO:0005919, GO:0030154, GO:0097105, GO:0048513, GO:0048786, GO:0005509, GO:0060857, GO:0007391, GO:0016021, GO:0008039, GO:0008366, GO:0072553, GO:0005886, GO:0035151, GO:0003015, GO:0008104, GO:0021682, GO:0019991, GO:0045202, GO:0061343
ECRY2_DN0_c0_g8769_i1.p1	GO:0042742, GO:0045087, GO:0004867, GO:0005576
ECRY2_DN0_c0_g14762_i1.p1	GO:0055038, GO:0031175, GO:0072659, GO:0005886, GO:0055037, GO:0032154, GO:0015031, GO:0005525, GO:0045335, GO:0003925, GO:0032402, GO:0007049
ECRY2_DN0_c0_g14353_i1.p1	GO:0005516, GO:0030424, GO:0043204, GO:0010628, GO:0000165, GO:0044325, GO:0005524, GO:0072375, GO:0018105, GO:0042802, GO:0042427, GO:1904115, GO:0004683, GO:0106310, GO:0046872, GO:0018107, GO:0004712
ECRY2_DN0_c0_g14323_i1.p1	GO:0048477, GO:0016020, GO:0016021, GO:0030154, GO:0005509, GO:0007283, GO:0045938, GO:0070328
ECRY2_DN0_c0_g14355_i1.p1	GO:1904355, GO:0000139, GO:0000781, GO:0005829, GO:0070212, GO:0032212, GO:0005634, GO:0016055, GO:0035264, GO:0048471, GO:0005737, GO:0003950, GO:0000242, GO:0005694, GO:0090263, GO:1990404, GO:0046872, GO:0040014, GO:0070213, GO:0000209, GO:0005794, GO:1904357, GO:0005635, GO:0019899, GO:0047485, GO:0070198
ECRY2_DN0_c0_g16025_i1.p1	GO:0062155, GO:0098775, GO:0042802, GO:0009279, GO:0098777, GO:0044010
ECRY2_DN0_c0_g9269_i1.p1	GO:0005509, GO:0005783, GO:0060326, GO:1901317
ECRY2_DN0_c0_g9527_i1.p1	GO:0031410, GO:0071354, GO:2001235, GO:0033235, GO:0005829, GO:0005515, GO:0005634, GO:0005730, GO:0000151, GO:0004842, GO:0032880, GO:0048471, GO:0008270, GO:0006915, GO:0007219, GO:0005886, GO:0043410, GO:0000027, GO:0070372, GO:0000122, GO:0016567
ECRY2_DN0_c0_g4127_i1.p1	GO:0005739, GO:0016034, GO:0006559, GO:0006572, GO:0005737, GO:0004364, GO:0006749
ECRY2_DN0_c0_g6443_i1.p1	GO:0002729, GO:0007169, GO:0032991, GO:0005515, GO:0005737, GO:0032815, GO:0043303, GO:0010941, GO:0044877, GO:0042629, GO:0035556
ECRY2_DN0_c0_g11583_i1.p1	GO:0016567, GO:0035556, GO:0003677, GO:0005654
ECRY2_DN0_c0_g6857_i1.p1	GO:0008134, GO:0012506, GO:0003777, GO:0030707, GO:0005871, GO:0016887, GO:0005829, GO:0005874, GO:0042073, GO:0007476, GO:0035301, GO:0005929, GO:0008017, GO:0005524, GO:0019901, GO:0005737, GO:0031234, GO:0042994, GO:0140311, GO:0045879, GO:0005886, GO:0042981, GO:0005119, GO:0031625, GO:0005856, GO:0035591, GO:0007224
ECRY2_DN0_c0_g16231_i1.p1	GO:0043161, GO:0005737, GO:0000122, GO:0005829, GO:0004791, GO:0005634, GO:0034399, GO:0098869
ECRY2_DN0_c0_g5420_i1.p1	GO:0075733, GO:0005515, GO:0043657
ECRY2_DN0_c0_g2628_i1.p1	GO:1903441, GO:0030139, GO:0007165, GO:0019904, GO:0042803, GO:0061025, GO:0005769, GO:0006893, GO:0032991, GO:0050790, GO:0055037, GO:0005737, GO:0005096, GO:0015031, GO:0006915, GO:0031901, GO:0008083, GO:0006897
ECRY2_DN0_c0_g12781_i1.p1	GO:0007291, GO:0005739, GO:0007602, GO:0046930, GO:0110099, GO:0015698, GO:0016021, GO:0030382, GO:0008308, GO:0098656, GO:0015288, GO:0005741, GO:0043066, GO:0016006
ECRY2_DN0_c0_g9027_i1.p1	GO:0005789, GO:0030433, GO:0016021, GO:0005783, GO:0031625, GO:0006986
ECRY2_DN0_c0_g8577_i1.p1	GO:0005886, GO:0010629, GO:0030154, GO:0048471, GO:0005737, GO:0007548, GO:0042464, GO:0007530, GO:0000122, GO:0016607, GO:0005829, GO:0031430, GO:0016529, GO:0005634, GO:0008270
ECRY2_DN0_c0_g5353_i1.p1	GO:0016925, GO:0005515, GO:0005654
ECRY2_DN0_c0_g8554_i1.p1	GO:0005739, GO:0010188, GO:0019563, GO:0005524, GO:0016310, GO:0046167, GO:0002237, GO:0005737, GO:0005829, GO:0004370, GO:0042742, GO:0006641
ECRY2_DN0_c0_g2779_i1.p1	GO:0005576, GO:0005886, GO:0030425, GO:0016021, GO:1990138, GO:0003391, GO:0007399, GO:0032590, GO:0043621
ECRY2_DN0_c0_g1559_i1.p1	GO:0001782, GO:0005794, GO:0005886, GO:0005068, GO:0016021, GO:0002322
ECRY2_DN0_c0_g12888_i1.p1	GO:0005794, GO:0048680, GO:0032580, GO:0005975, GO:0016021, GO:0008107, GO:0043413
ECRY2_DN0_c0_g15893_i1.p1	GO:0070062, GO:0005524, GO:0043161, GO:0061631, GO:0005829, GO:0031625, GO:0070936, GO:0044257, GO:0070534
ECRY2_DN0_c0_g11396_i1.p1	GO:0000922, GO:0005737, GO:0071902, GO:0043539, GO:0035556, GO:0005856
ECRY2_DN0_c0_g5504_i1.p1	GO:0004362, GO:0098869, GO:0097573, GO:0005737
ECRY2_DN0_c0_g12417_i1.p1	GO:0006706, GO:0005576, GO:0008544, GO:0007565, GO:0004065, GO:0046872
ECRY2_DN0_c0_g13384_i1.p1	GO:0010825, GO:0046601, GO:0005737, GO:0048133, GO:0043015
ECRY2_DN0_c0_g4476_i1.p1	GO:0005730, GO:0090069, GO:0008270, GO:0003676
ECRY2_DN0_c0_g5980_i1.p1	GO:0005840, GO:0045903, GO:0022627, GO:0019843, GO:0006412, GO:0003735
ECRY2_DN0_c0_g13802_i1.p1	GO:0007281, GO:0005886, GO:0008017, GO:0045295, GO:0008013, GO:0005912, GO:0005737, GO:0002119, GO:0030056, GO:0005874, GO:0016324, GO:0031122, GO:0005856
ECRY2_DN0_c0_g2436_i1.p1	GO:0005739, GO:0090201, GO:0005515, GO:0007007, GO:0031305, GO:0006915, GO:0005743
ECRY2_DN0_c0_g9024_i1.p1	GO:0004715, GO:0034334, GO:0030154, GO:0005829, GO:0045087, GO:0005634, GO:0004712, GO:0005102, GO:0007169, GO:0005524, GO:0045859, GO:0005737, GO:0031234, GO:0018108, GO:0046777, GO:0051480, GO:0046872, GO:0001702, GO:0042552, GO:0060027, GO:0050852
ECRY2_DN0_c0_g14671_i1.p1	GO:0016705, GO:0006082, GO:0005506, GO:0005789, GO:0005783, GO:0020037, GO:0006805, GO:0004497
ECRY2_DN0_c0_g6840_i1.p1	GO:0019901, GO:0005737, GO:0042995, GO:0007051, GO:0005813, GO:0005856
ECRY2_DN0_c0_g13665_i1.p1	GO:0055038, GO:0005886, GO:0098734, GO:0045202, GO:0098839, GO:0008474, GO:0005768, GO:0043197, GO:0045211
ECRY2_DN0_c0_g6622_i1.p1	GO:0045944, GO:0000978, GO:0046872, GO:0001228, GO:0005634
ECRY2_DN0_c0_g12977_i1.p1	GO:0002218, GO:0006914, GO:0007165, GO:0000785, GO:0061809, GO:0050135, GO:0000166, GO:0032481, GO:0005654
ECRY2_DN0_c0_g6455_i1.p1	GO:0046327, GO:0004613, GO:0071333, GO:0019543, GO:0005737, GO:0005829, GO:0042594, GO:0005525, GO:0030145, GO:0033993, GO:0006094
ECRY2_DN0_c0_g1026_i1.p1	GO:0072659, GO:0005515, GO:0050731, GO:0005509, GO:0005525, GO:0031901, GO:0060271, GO:0005524, GO:0005769, GO:0048471, GO:0055038, GO:0030139, GO:0005886, GO:0030100, GO:0071363, GO:0032456, GO:0005783, GO:0051260, GO:0006907
ECRY2_DN0_c0_g7872_i1.p1	GO:0046627, GO:0019955, GO:0040015, GO:0061809, GO:0008063, GO:0002224, GO:1902875, GO:0009897, GO:0009986, GO:0004896, GO:0070976, GO:0061760, GO:0002347, GO:0019221, GO:0005769, GO:0032154, GO:0042802, GO:0005737, GO:0030308, GO:0046790, GO:0016201, GO:0009950, GO:0005887, GO:0007507, GO:0005886, GO:0007526, GO:0009611, GO:0035208, GO:0050135, GO:0050830, GO:0007416, GO:0002804, GO:0045944, GO:0002229, GO:0035212, GO:0007155, GO:0009597, GO:0071944
ECRY2_DN0_c0_g16207_i1.p1	GO:0005635, GO:0031490, GO:0051301, GO:0007049, GO:0016021, GO:0005783, GO:0005737, GO:0005637, GO:0005521, GO:0005634, GO:0005654
ECRY2_DN0_c0_g2296_i1.p1	GO:0110095, GO:0052650, GO:0007601, GO:0005789, GO:0004745, GO:0016021, GO:0005783, GO:0042622, GO:0001917, GO:0033721, GO:0042572, GO:0102354, GO:0016062, GO:0042574
ECRY2_DN0_c0_g15612_i1.p1	GO:0005516, GO:0005576, GO:0030431, GO:1903818, GO:0032222, GO:0030548
ECRY2_DN0_c0_g1547_i1.p1	GO:0005815, GO:0042803, GO:0005886, GO:0005929, GO:0016021, GO:0097546, GO:0005737, GO:0005879, GO:0035869, GO:0035556, GO:0060170, GO:0005856
ECRY2_DN0_c0_g9713_i1.p1	GO:0017053, GO:0032021, GO:0000122, GO:0005703, GO:0034244, GO:0005705, GO:0005634, GO:0003723, GO:0005694
ECRY2_DN0_c0_g15912_i1.p1	GO:0045944, GO:0001533, GO:0003682
ECRY2_DN0_c0_g7430_i1.p1	GO:0005840, GO:0005739, GO:0006412, GO:0003735, GO:0022625, GO:0003723
ECRY2_DN0_c0_g1258_i1.p1	GO:0005576, GO:0030431, GO:0006937, GO:0031841, GO:0007218, GO:0005615
ECRY2_DN0_c0_g960_i1.p1	GO:0016020, GO:0016021, GO:0030154, GO:0005515, GO:0045948, GO:0007338, GO:0070935, GO:0007283, GO:0005654
ECRY2_DN0_c0_g14257_i1.p1	GO:0005085, GO:0005829, GO:0050790, GO:0005737
ECRY2_DN0_c0_g638_i1.p1	GO:0043542, GO:0004691, GO:0001525, GO:0005634, GO:0004712, GO:0005654, GO:0005952, GO:0007165, GO:0005524, GO:0030099, GO:0005737, GO:0106310, GO:0030155, GO:0046777, GO:0001935, GO:0060993, GO:2000696, GO:0030334, GO:0018105, GO:0031589, GO:0060562
ECRY2_DN0_c0_g4180_i1.p1	GO:0005524, GO:0003986, GO:0036042, GO:0042802, GO:0005737, GO:0005829, GO:0052689, GO:0006084, GO:0047617, GO:0008289, GO:0006631, GO:0005654, GO:0045171
ECRY2_DN0_c0_g3519_i1.p1	GO:0043966, GO:0006367, GO:0051123, GO:0033276, GO:0003682, GO:0016251, GO:0000086, GO:0035522, GO:0006468, GO:0006282, GO:0042789, GO:0005669, GO:0060261, GO:0005634, GO:0000976
ECRY2_DN0_c0_g7055_i1.p1	GO:0004843, GO:0030433, GO:0014069, GO:0005737, GO:0005829, GO:0046872, GO:0016579, GO:0043197
ECRY2_DN0_c0_g5637_i1.p1	GO:0016032, GO:0016021, GO:0016020, GO:0005102
ECRY2_DN0_c0_g9891_i1.p1	GO:0034378, GO:0034379, GO:1904121, GO:0005829, GO:0034185, GO:0005791, GO:0034197, GO:0007623, GO:0009306, GO:0140344, GO:0046982, GO:0016323, GO:0120019, GO:0120020, GO:0031526, GO:0031982, GO:1902388, GO:0120009, GO:0042157, GO:0006497, GO:0034374, GO:0043235, GO:0008289, GO:0042632, GO:0006641, GO:0005788, GO:0005794, GO:0031528, GO:0044877, GO:0015918, GO:1902389, GO:0051592, GO:0042953
ECRY2_DN0_c0_g12327_i1.p1	GO:0005576, GO:0052692, GO:0005783, GO:0005995, GO:0016139, GO:0005737, GO:0005788, GO:0046477
ECRY2_DN0_c0_g14877_i1.p1	GO:0051301, GO:0005515, GO:0005096, GO:0005634, GO:0007049
ECRY2_DN0_c0_g14509_i1.p1	GO:0042025, GO:0003677, GO:0006355
ECRY2_DN0_c0_g11401_i1.p1	GO:0009950, GO:0048477, GO:0045824, GO:0008583, GO:0004843, GO:0007601, GO:0050829, GO:0005515, GO:0005829, GO:0005737, GO:0035192, GO:0006511, GO:0016579, GO:0005634, GO:0004197, GO:0007349, GO:0008354
ECRY2_DN0_c0_g6111_i1.p1	GO:1990438, GO:0008380, GO:0017070, GO:0000494, GO:1905382, GO:0030154, GO:0048024, GO:0006397, GO:0005829, GO:0000122, GO:0005634, GO:1904871, GO:0097322, GO:0120259, GO:0032897, GO:0007283, GO:0005654
ECRY2_DN0_c0_g7454_i1.p1	GO:0048598, GO:0000977, GO:0000981, GO:0005634, GO:0006357
ECRY2_DN0_c0_g11111_i1.p1	GO:0008494, GO:0003730, GO:0032991, GO:0030154, GO:0005515, GO:0005737, GO:0045948, GO:0005634, GO:0070935, GO:0007283
ECRY2_DN0_c0_g4150_i1.p1	GO:0045292, GO:0005634, GO:0005685, GO:0071004, GO:0003723
ECRY2_DN0_c0_g3990_i1.p1	GO:0060409, GO:0043950, GO:0005576, GO:0045840, GO:0000165, GO:0002026, GO:0043409, GO:0048240, GO:0008289, GO:0010951, GO:0001933
ECRY2_DN0_c0_g9317_i1.p1	GO:0001069, GO:0016887, GO:0003690, GO:0048675, GO:0032508, GO:0005829, GO:2000373, GO:0005634, GO:0005730, GO:0031453, GO:0003725, GO:0072487, GO:0106222, GO:0050684, GO:0005524, GO:0008340, GO:0000228, GO:0003682, GO:0005737, GO:0005700, GO:2000765, GO:0009047, GO:0000785, GO:0033679, GO:0016456, GO:0000805, GO:0045944, GO:0034458, GO:0045433, GO:0043138
ECRY2_DN0_c0_g11415_i1.p1	GO:0046822, GO:0007165, GO:0048471, GO:0005737, GO:0005829, GO:0045132, GO:0005096, GO:0031965, GO:0006611, GO:0005634, GO:0003723, GO:0031267, GO:0090630
ECRY2_DN0_c0_g12108_i1.p1	GO:0016705, GO:0006082, GO:0005506, GO:0005789, GO:0005783, GO:0020037, GO:0006805, GO:0004497
ECRY2_DN0_c0_g7200_i1.p1	GO:2000436, GO:2000435, GO:0005886, GO:0031624, GO:0032182, GO:0048471, GO:0010564, GO:0005737, GO:0005634, GO:0045116, GO:0097602, GO:0051443, GO:0000151
ECRY2_DN0_c0_g12817_i1.p1	GO:0001714, GO:1904936, GO:0045165, GO:0000132, GO:0060070, GO:0005109, GO:0045167, GO:0048557, GO:0030971, GO:0097475, GO:0005615, GO:0005125, GO:0048699, GO:0097402, GO:0030182, GO:0030010, GO:1905485, GO:0005576, GO:0070986
ECRY2_DN0_c0_g14771_i1.p1	GO:0140297, GO:0006355, GO:0106037, GO:0016324, GO:0001745, GO:0042802, GO:0045463, GO:0070379, GO:0035332, GO:0005911, GO:0046621, GO:0005886, GO:0045464, GO:0036375, GO:0098592, GO:0007298, GO:0000978, GO:0060253, GO:0043065, GO:0001228
ECRY2_DN0_c0_g6322_i1.p1	GO:0005515, GO:0030713, GO:0005634, GO:0005730, GO:0051321, GO:0061630, GO:0003682, GO:0035102, GO:0008270, GO:0000779, GO:0005694, GO:0022008, GO:0000785, GO:0030708, GO:0009948, GO:0007419, GO:0035518, GO:0005635, GO:0031507, GO:0006357
ECRY2_DN0_c0_g12595_i1.p1	GO:0009134, GO:0102485, GO:0016020, GO:0005524, GO:0102486, GO:0016021, GO:0102489, GO:0102491, GO:0017110, GO:0102490, GO:0102487, GO:0102488
ECRY2_DN0_c0_g11335_i1.p1	GO:0007281, GO:0005886, GO:0005515, GO:0005912, GO:0005737, GO:0005096, GO:0002119, GO:0030056, GO:0005874, GO:0016324, GO:0031122, GO:0005856
ECRY2_DN0_c0_g5810_i1.p1	GO:0000814, GO:0003730, GO:0031902, GO:0043328, GO:0042981, GO:0005737, GO:0043130, GO:0045450, GO:0051028, GO:0043025, GO:0005768, GO:0043162, GO:0032266
ECRY2_DN0_c0_g4288_i1.p1	GO:0015026, GO:0016020, GO:0016021, GO:0020002, GO:0005515, GO:0001618, GO:0030683, GO:0039673
ECRY2_DN0_c0_g6885_i1.p1	GO:0015031, GO:0005515, GO:0051028, GO:0005654
ECRY2_DN0_c0_g7570_i1.p1	GO:0010951, GO:0005576, GO:0004867
ECRY2_DN0_c0_g15086_i1.p1	GO:0005515, GO:0090136, GO:0016021, GO:0005886
ECRY2_DN0_c0_g13506_i1.p1	GO:0000281, GO:0050321, GO:0004674, GO:0007165, GO:0036064, GO:0097542, GO:0005929, GO:0005524, GO:0097014, GO:0006468, GO:0031981, GO:0020023, GO:0005634, GO:0000278, GO:0005930
ECRY2_DN0_c0_g2333_i1.p1	GO:0017186, GO:0005576, GO:0008270, GO:0016603
ECRY2_DN0_c0_g11305_i1.p1	GO:0051493, GO:0033147, GO:0005886, GO:0005783, GO:0005515, GO:0005737, GO:0006469, GO:0005634, GO:0043627
ECRY2_DN0_c0_g8298_i1.p1	GO:0005887, GO:0005886, GO:0048680, GO:0038083, GO:0004714, GO:0007169, GO:0031103, GO:0005524, GO:0043410, GO:0031435, GO:0048731, GO:0043235, GO:0033674, GO:0004712
ECRY2_DN0_c0_g6649_i1.p1	GO:0042803, GO:0006914, GO:0030017, GO:0000045, GO:0005783, GO:0005737, GO:0055120, GO:0010506
ECRY2_DN0_c0_g10566_i1.p1	GO:0051287, GO:0003858, GO:0005829, GO:0005737, GO:0050661, GO:0006979, GO:0030267
ECRY2_DN0_c0_g12653_i1.p1	GO:0036002, GO:1990247, GO:0003729, GO:0030154, GO:0007548, GO:0007530, GO:0005634, GO:0000381, GO:0000398, GO:0005654
ECRY2_DN0_c0_g875_i1.p1	GO:0003677, GO:0030154, GO:0007399, GO:0000981, GO:0005634, GO:0007367, GO:0006357
ECRY2_DN0_c0_g11062_i1.p1	GO:0016020, GO:0016021, GO:0020037, GO:0055085, GO:0097037, GO:0015232
ECRY2_DN0_c0_g12234_i1.p1	GO:0005042, GO:0016021, GO:0038007, GO:0016020
ECRY2_DN0_c0_g3957_i1.p1	GO:0005667, GO:0045944, GO:0000978, GO:0001228, GO:0046872, GO:0005634, GO:0031519
ECRY2_DN0_c0_g11086_i1.p1	GO:0030436, GO:0030435, GO:0005829, GO:0005634, GO:0044183
ECRY2_DN0_c0_g4303_i1.p1	GO:0005739, GO:0031410, GO:0016021, GO:0030154, GO:0005515, GO:0007338, GO:0001675, GO:0002080, GO:0007283
ECRY2_DN0_c0_g8676_i1.p1	GO:0006278, GO:0090305, GO:0005737, GO:0003964, GO:0046872, GO:0004519
ECRY2_DN0_c0_g11387_i1.p1	GO:0005576, GO:0005515, GO:0062023, GO:1903053, GO:1901346, GO:0005615
ECRY2_DN0_c0_g9149_i1.p1	GO:0008732, GO:0005829, GO:0006567, GO:0005634, GO:0006545
ECRY2_DN0_c0_g12728_i1.p1	GO:0007264, GO:0005093, GO:0018344, GO:0050790, GO:0005829, GO:0005737, GO:0005634, GO:0005096, GO:0016192, GO:0006886, GO:0005968
ECRY2_DN0_c0_g5311_i1.p1	GO:0030424, GO:0005576, GO:0005886, GO:0070593, GO:0098632, GO:0007156, GO:0007411
ECRY2_DN0_c0_g7330_i1.p1	GO:0016020, GO:0006278, GO:0020002, GO:0090305, GO:0030430, GO:0003964, GO:0004519
ECRY2_DN0_c0_g16233_i1.p1	GO:0048856, GO:0030431, GO:0045944, GO:0000977, GO:0000981, GO:0005634, GO:0042127
ECRY2_DN0_c0_g9733_i1.p1	GO:0005737, GO:0031032, GO:0019902, GO:0005813, GO:0005856
ECRY2_DN0_c0_g8030_i1.p1	GO:0004842, GO:0000785, GO:0045893, GO:0016567, GO:0008270, GO:0005654
ECRY2_DN0_c0_g12642_i1.p1	GO:0007288, GO:0036064, GO:0005929, GO:0008017, GO:0005737, GO:0005856
ECRY2_DN0_c0_g15348_i1.p1	GO:0048487, GO:0003714, GO:0016561, GO:0036250, GO:0005102, GO:0016558, GO:0008017, GO:0016021, GO:0042802, GO:0032091, GO:0005777, GO:1990429, GO:0016560, GO:0045892, GO:0044721, GO:0034453, GO:0065003, GO:0043433, GO:0005778, GO:0047485
ECRY2_DN0_c0_g10305_i1.p1	GO:0016301, GO:0005524, GO:0016310, GO:0005737, GO:0005634
ECRY2_DN0_c0_g10516_i1.p1	GO:0000978, GO:0000981, GO:0008270, GO:0005634, GO:0010468
ECRY2_DN0_c0_g12459_i1.p1	GO:0005576, GO:0042803, GO:0005978, GO:0016020, GO:1904813, GO:0102751, GO:0034774, GO:0005829, GO:0030145, GO:0043202, GO:0008466
ECRY2_DN0_c0_g3530_i1.p1	GO:0050687, GO:0039545, GO:0042802, GO:0030683, GO:0030430, GO:0005741, GO:0039502, GO:0033650
ECRY2_DN0_c0_g8789_i1.p1	GO:0005681, GO:0030628, GO:0005515, GO:0048573, GO:0016607, GO:0046872, GO:0005634, GO:0000398, GO:0003677, GO:0089701
ECRY2_DN0_c0_g292_i1.p1	GO:0005739, GO:0016887, GO:0033567, GO:0032508, GO:0000076, GO:0005634, GO:0005524, GO:0006281, GO:0005737, GO:0071932, GO:0003723, GO:0006260, GO:0000729, GO:0043139, GO:0046872, GO:0017116, GO:0017108, GO:0090305, GO:0051539, GO:0003677
ECRY2_DN0_c0_g14265_i1.p1	GO:0048468, GO:0043087, GO:0032956, GO:0002009, GO:0048513, GO:0005634, GO:0006911, GO:0005654, GO:0016581, GO:0007520, GO:0005737, GO:0030971, GO:0007298, GO:0046330, GO:0051179, GO:0035591, GO:0046529, GO:0048010, GO:0048013
ECRY2_DN0_c0_g293_i1.p1	GO:0006355, GO:0044177, GO:0030430, GO:0019033, GO:0003677
ECRY2_DN0_c0_g13349_i1.p1	GO:0030234, GO:0031012, GO:0043549, GO:0005509, GO:0005634, GO:0051343, GO:0045861, GO:0051301, GO:0019901, GO:0005737, GO:0005615, GO:0000281, GO:0050839, GO:0051284, GO:0017024, GO:0048306, GO:0000331, GO:0001778, GO:0007049, GO:0032781, GO:0061122, GO:0072666, GO:0031285, GO:1903665, GO:0006611, GO:0031013
ECRY2_DN0_c0_g7369_i1.p1	GO:0008270, GO:0005886, GO:0004089, GO:0006730
ECRY2_DN0_c0_g9373_i1.p1	GO:0003724, GO:0016887, GO:0005524, GO:0032502, GO:0071013, GO:0022414, GO:0003723
ECRY2_DN0_c0_g5039_i1.p1	GO:0090114, GO:0005794, GO:0031410, GO:0000139, GO:0090110, GO:0005789, GO:0050790, GO:0005783, GO:0005737, GO:0012507, GO:0005096, GO:0008270, GO:0006888, GO:0006886, GO:0030127, GO:0070971
ECRY2_DN0_c0_g410_i1.p1	GO:0005576, GO:0051045, GO:0008191, GO:0031012, GO:0046872, GO:0010033, GO:0010951, GO:0002020, GO:0005615
ECRY2_DN0_c0_g3816_i1.p1	GO:0016887, GO:0010038, GO:0005515, GO:0016324, GO:1990573, GO:0006883, GO:0016323, GO:0005524, GO:0005391, GO:0016021, GO:0005886, GO:0008900, GO:1902600, GO:0006885, GO:0036376, GO:0046872, GO:0010248, GO:0030007, GO:0014070
ECRY2_DN0_c0_g13459_i1.p1	GO:0000045, GO:0000422, GO:0019776, GO:0005515, GO:0044804, GO:0005737, GO:0005829, GO:0015031, GO:0000153
ECRY2_DN0_c0_g7314_i1.p1	GO:0005515, GO:0016021, GO:0009617, GO:0016020
ECRY2_DN0_c0_g40_i1.p1	GO:0005576, GO:0031410, GO:0020009, GO:0004568, GO:0008061, GO:0007155, GO:0006508
ECRY2_DN0_c0_g3954_i1.p1	GO:0006368, GO:0000973, GO:0048536, GO:0003690, GO:0043488, GO:0003723, GO:0005737, GO:0045893, GO:0090267, GO:0016973, GO:0005634, GO:0070390, GO:0043066, GO:0071028, GO:2000117, GO:0044615
ECRY2_DN0_c0_g2528_i1.p1	GO:0005313, GO:0005739, GO:0006537, GO:0015813, GO:0005509, GO:0015297, GO:0016021, GO:0042802, GO:1904024, GO:2001171, GO:0031643, GO:0043209, GO:0010907, GO:0070778, GO:0015810, GO:0043490, GO:0015183, GO:0005743, GO:0051592
ECRY2_DN0_c0_g7934_i1.p1	GO:0046982, GO:0030509, GO:0007502, GO:0005576, GO:0007476, GO:0005125, GO:0030154, GO:0008083, GO:0060395, GO:0008406, GO:0010033, GO:0007378, GO:0010862, GO:0009953, GO:0005615
ECRY2_DN0_c0_g1449_i1.p1	GO:0045892, GO:0045944, GO:0005515, GO:0000978, GO:0140655, GO:0001228, GO:0008270, GO:0005634
ECRY2_DN0_c0_g7907_i1.p1	GO:0005576, GO:0016936, GO:0030246, GO:0031154
ECRY2_DN0_c0_g8517_i1.p1	GO:0006897, GO:0005886, GO:0005929, GO:0016059, GO:0009744, GO:0007605, GO:0061512, GO:0005737, GO:0008289, GO:0043025, GO:0005634, GO:0042593, GO:0016028, GO:0060170, GO:0070328
ECRY2_DN0_c0_g19_i1.p1	GO:0051493, GO:0033147, GO:0016020, GO:0016021, GO:0005515, GO:0006469, GO:0043627
ECRY2_DN0_c0_g3378_i1.p1	GO:0015031, GO:0005515, GO:0051028, GO:0005654
ECRY2_DN0_c0_g5325_i1.p1	GO:0005739, GO:0006278, GO:0090305, GO:0003964, GO:0004519
ECRY2_DN0_c0_g16230_i1.p1	GO:0006260, GO:0035511, GO:0010032, GO:0005515, GO:0035516, GO:2000781, GO:1905516, GO:0046872, GO:0060903, GO:0005634, GO:1901046, GO:2001252
ECRY2_DN0_c0_g2492_i1.p1	GO:0005887, GO:0005886, GO:0032450, GO:0070062, GO:0000023, GO:0005774, GO:0031526, GO:0016324
ECRY2_DN0_c0_g8209_i1.p1	GO:0016020, GO:0004930, GO:0016021, GO:0030073, GO:0031210, GO:0007189, GO:0019222, GO:0005654
ECRY2_DN0_c0_g8667_i1.p1	GO:0030506, GO:0040008, GO:0005737, GO:0042802, GO:0016567, GO:0006511, GO:0031430, GO:0051260, GO:0097602, GO:0045879
ECRY2_DN0_c0_g9276_i1.p1	GO:0003712, GO:0010629, GO:0005829, GO:0005634
ECRY2_DN0_c0_g2539_i1.p1	GO:0016020, GO:0016021, GO:0005515, GO:0098670, GO:0046718
ECRY2_DN0_c0_g12811_i1.p1	GO:0007096, GO:0005515, GO:0005829, GO:0035186, GO:0005737, GO:0016538, GO:0000079, GO:0001673, GO:2000738, GO:0009794, GO:0097124, GO:0007088, GO:0044772, GO:0035561, GO:0045170, GO:0000070, GO:0045169, GO:0045202, GO:0055059
ECRY2_DN0_c0_g6386_i1.p1	GO:0032991, GO:0032456, GO:0005829, GO:0005737, GO:0005634, GO:0017183, GO:0061685
ECRY2_DN0_c0_g1851_i1.p1	GO:0005739, GO:0070131, GO:0016021, GO:0015095, GO:0005743
ECRY2_DN0_c0_g3016_i1.p1	GO:0005739, GO:0005758, GO:0032981, GO:0005507
ECRY2_DN0_c0_g12985_i1.p1	GO:0005925, GO:0001755, GO:0008270, GO:0005938, GO:0042127
ECRY2_DN0_c0_g12536_i1.p1	GO:0005739, GO:0005758, GO:0042719, GO:0140318, GO:0046872, GO:0045039, GO:0005743
ECRY2_DN0_c0_g11406_i1.p1	GO:0043931, GO:0006695, GO:0005635, GO:0031410, GO:0005789, GO:0000247, GO:0004769, GO:0016021, GO:0030097, GO:0005783, GO:0047750, GO:0042802, GO:0005634
ECRY2_DN0_c0_g1713_i1.p1	GO:0004831, GO:0006412, GO:0005524, GO:0005737, GO:0006437
ECRY2_DN0_c0_g8627_i1.p1	GO:0000922, GO:0046785, GO:0000132, GO:0005813, GO:0005819, GO:0061863, GO:0000022, GO:0051321, GO:0007344, GO:0051298, GO:0007052, GO:0051301, GO:0051010, GO:0005737, GO:0007411, GO:0048477, GO:0035371, GO:0007143, GO:0031122, GO:0005856, GO:0000776, GO:0016325, GO:0045196, GO:0045450, GO:0007029, GO:0090063, GO:0000278
