CCFQ1_DN4592_c0_g1_i2.p1	GO:0006749, GO:0005576, GO:0004364
CCFQ1_DN38077_c0_g1_i1.p1	GO:0007595, GO:0042802, GO:0005615, GO:0005576, GO:0050821, GO:0035375
CCFQ1_DN461_c0_g2_i2.p1	GO:0007281, GO:1990904, GO:0034587, GO:0043186, GO:0007283, GO:0070306, GO:0030719, GO:0033391, GO:0047485, GO:0005737, GO:0003729, GO:0002089, GO:0010608, GO:0005759
CCFQ1_DN17255_c0_g1_i1.p1	GO:0034990, GO:0000775, GO:0005694, GO:0005634, GO:0006281, GO:0003682, GO:0016363, GO:0016887, GO:0051321, GO:0007064, GO:0051301, GO:0005819, GO:0005524, GO:0005856, GO:0000819, GO:0009506, GO:0061775, GO:0005737, GO:0003690, GO:0000785
CCFQ1_DN24500_c0_g1_i1.p1	GO:0000405, GO:0005730, GO:0005634, GO:0060261, GO:0003697
CCFQ1_DN33237_c0_g1_i1.p1	GO:0016021, GO:0050790, GO:0030148, GO:0006673, GO:0005886, GO:0070917, GO:0005737
CCFQ1_DN6275_c0_g1_i6.p1	GO:0003968, GO:0039564, GO:0001172, GO:0030683, GO:0039502, GO:0039563, GO:0030430, GO:0019083
CCFQ1_DN23480_c0_g1_i1.p1	GO:0007043, GO:0007507, GO:0001570, GO:0060047, GO:0005737, GO:0005515, GO:0009948
CCFQ1_DN2272_c0_g1_i1.p1	GO:0005777, GO:0006161, GO:0006148, GO:0033971, GO:0006157, GO:0006147, GO:0005739, GO:0000255, GO:0006149, GO:0046059, GO:0046055, GO:0009115, GO:0046038, GO:0006154, GO:0009114, GO:0006196, GO:0006204, GO:0019628
CCFQ1_DN6498_c0_g1_i1.p1	GO:0007007, GO:0005739, GO:0061617, GO:0005743, GO:0005515
CCFQ1_DN36601_c0_g1_i1.p1	GO:0004371, GO:0005829, GO:0016310, GO:0047324, GO:1990234, GO:0019563
CCFQ1_DN31966_c0_g1_i1.p1	GO:0010764, GO:0005929, GO:1900016, GO:0070121, GO:0035869, GO:0061041, GO:0050728, GO:0060271, GO:0006954, GO:0015031, GO:0005249, GO:0005737, GO:0010760
CCFQ1_DN724_c0_g1_i5.p1	GO:0005634, GO:0008203, GO:0006869, GO:0005844, GO:0003729, GO:0005737
CCFQ1_DN10763_c0_g1_i1.p1	GO:0051123, GO:0005634, GO:0005669, GO:0016251, GO:0046695, GO:0006367, GO:0045893, GO:0000124, GO:0046982, GO:0003713
CCFQ1_DN4736_c0_g1_i3.p1	GO:0051782, GO:0005654, GO:0005634, GO:0006270, GO:0005664, GO:0003677, GO:0006260, GO:0001650
CCFQ1_DN2223_c0_g1_i3.p1	GO:0046872, GO:0016021, GO:0004222, GO:0016485, GO:0005886
CCFQ1_DN13002_c0_g1_i1.p1	GO:0009966, GO:0045087, GO:0043197, GO:0005768, GO:0031234, GO:0005102, GO:0030154, GO:0004715, GO:0005737, GO:0007169, GO:0005925
CCFQ1_DN13078_c0_g1_i2.p1	GO:0005739, GO:0050684, GO:0006397, GO:0007005, GO:0019843, GO:0043024
CCFQ1_DN10615_c0_g1_i1.p1	GO:0000422, GO:0016236, GO:0031225, GO:0005886, GO:0005515
CCFQ1_DN13537_c0_g1_i1.p1	GO:0043256, GO:0060668, GO:0005604, GO:0070831, GO:0016477, GO:0009887, GO:0009888, GO:0005576, GO:0016322, GO:0005886, GO:0043237, GO:0034446
CCFQ1_DN6566_c0_g1_i1.p1	GO:0004691, GO:0008584, GO:0004679, GO:0004712, GO:0005654, GO:0097546, GO:0005634, GO:0106310, GO:0007283, GO:0005829, GO:0034380, GO:0034237, GO:0010737, GO:0006468, GO:0003091, GO:0005524
CCFQ1_DN2798_c0_g2_i6.p1	GO:0016348, GO:0004712, GO:0007474, GO:0017147, GO:0007446, GO:0043393, GO:0007267, GO:0090175, GO:0035159, GO:0042067, GO:0016055, GO:0005576, GO:0006468, GO:0007219, GO:0106310, GO:0001737, GO:0004674
CCFQ1_DN8843_c0_g1_i1.p1	GO:0016021, GO:0007610, GO:0034220, GO:0005886, GO:0015276, GO:0038023, GO:0050907
CCFQ1_DN2330_c0_g1_i1.p1	GO:0010764, GO:0016491, GO:1900016, GO:0050728, GO:0060271, GO:0006954, GO:0015031, GO:0005737
CCFQ1_DN41536_c0_g1_i1.p1	GO:0016021, GO:0016236, GO:0005764, GO:0000421, GO:0015279, GO:0031410, GO:0005765
CCFQ1_DN32247_c0_g1_i1.p1	GO:0046872, GO:0039564, GO:0030683, GO:0030430, GO:0039502, GO:0039554
CCFQ1_DN3417_c0_g1_i1.p1	GO:0007286, GO:0030991, GO:0005929, GO:0007283, GO:0004857, GO:0030154
CCFQ1_DN39212_c0_g1_i1.p1	GO:0042025, GO:0046872, GO:0006310, GO:0019031, GO:0042138, GO:0051321, GO:0030430, GO:0030435
CCFQ1_DN28236_c0_g1_i1.p1	GO:0005634, GO:0003723, GO:0007283, GO:0003724, GO:0006355, GO:0008033, GO:0016887, GO:0001700, GO:0006302, GO:0005524, GO:0017151, GO:0032508, GO:0090305, GO:0048477
CCFQ1_DN10583_c0_g1_i1.p1	GO:0030904, GO:0005085, GO:0050790, GO:0005802, GO:0005829, GO:0042147, GO:0000139, GO:0031267, GO:0005794, GO:0010977
CCFQ1_DN7118_c0_g1_i1.p1	GO:0005534, GO:0046872, GO:0016339, GO:0005576, GO:0009897, GO:0035006, GO:0035010
CCFQ1_DN1036_c0_g2_i1.p1	GO:0045087, GO:0016021, GO:0046872, GO:0006897, GO:0016020, GO:0005537, GO:0002250, GO:0009897, GO:0007155
CCFQ1_DN19225_c0_g1_i1.p1	GO:1902455, GO:0046872, GO:0008285, GO:0006606, GO:1902459, GO:0005634, GO:0016580, GO:0035064, GO:0007049, GO:0030512, GO:0045893, GO:0030336, GO:0010941, GO:0000122
CCFQ1_DN6917_c0_g1_i1.p1	GO:0045121, GO:0016021, GO:0002250, GO:0005886, GO:0042169, GO:0035556, GO:0050868
CCFQ1_DN38183_c0_g1_i1.p1	GO:0030915, GO:0043966, GO:0016444, GO:0005634, GO:0006281, GO:0000976, GO:0002215, GO:0010113, GO:0009626, GO:0005515, GO:0009627, GO:0051572, GO:0045892
CCFQ1_DN14739_c0_g1_i3.p1	GO:0033157, GO:0023052, GO:0007033, GO:0005634, GO:0006904, GO:0017157, GO:0072659, GO:0005829, GO:0009306, GO:0005886, GO:0003924, GO:0005525, GO:0005768
CCFQ1_DN17550_c0_g1_i1.p1	GO:0000325, GO:0016607, GO:0005634, GO:0006378, GO:0008143, GO:0043621, GO:0005737
CCFQ1_DN15855_c0_g1_i7.p1	GO:0016318, GO:0004706, GO:0071222, GO:0007249, GO:0010506, GO:0048749, GO:0048802, GO:0045087, GO:0000287, GO:0006963, GO:0033209, GO:0051607, GO:0004712, GO:0050829, GO:0090175, GO:0006468, GO:0031625, GO:0005524, GO:0106310, GO:0046330, GO:0007254, GO:0061057, GO:0005829, GO:0010942, GO:0006915, GO:0005737, GO:0007391
CCFQ1_DN10936_c0_g1_i1.p1	GO:0032956, GO:0010667, GO:0005654, GO:0051726, GO:0017124, GO:0007160, GO:0001954, GO:0045893, GO:0032288, GO:0032991, GO:0005886, GO:0034446, GO:0043198, GO:0045773, GO:0051897, GO:0043524, GO:0045197, GO:0021675, GO:0019901, GO:0048812, GO:1901224, GO:0033209, GO:0001658, GO:0022011, GO:0006469, GO:0043195, GO:0005925, GO:0043034, GO:0004712, GO:0014912, GO:0018105, GO:0090263, GO:0010761, GO:0001725, GO:0007229, GO:0030017, GO:0030424, GO:1900026, GO:0043406, GO:0014044, GO:0030027, GO:0005524, GO:0106310, GO:2000178, GO:0008284, GO:0045669, GO:0030335, GO:0043491, GO:0003151, GO:0030513, GO:0048662, GO:0005911, GO:0005737, GO:0045663, GO:0043025, GO:0005178, GO:2000774, GO:0050775, GO:0097435, GO:0004674
CCFQ1_DN3691_c0_g1_i1.p1	GO:0005783, GO:0016491, GO:0006694, GO:0030497
CCFQ1_DN42778_c0_g1_i1.p1	GO:0005737, GO:0042802, GO:0051321
CCFQ1_DN8613_c0_g1_i1.p1	GO:0005773, GO:0005789, GO:0002020, GO:0006644, GO:0000139, GO:0071627, GO:0042803, GO:0070772, GO:0005783, GO:0005794, GO:0005774
CCFQ1_DN22425_c0_g1_i1.p1	GO:0005262, GO:0005254, GO:1902476, GO:0034707, GO:0004222, GO:0005615, GO:0005576, GO:0005886, GO:0005244, GO:0070588, GO:0034765
CCFQ1_DN23166_c0_g1_i2.p1	GO:0070469, GO:0005761, GO:0005739, GO:0003735, GO:0005743, GO:0032543, GO:0006120, GO:0042773, GO:0042776, GO:0005747
CCFQ1_DN28493_c0_g1_i1.p2	GO:0005856, GO:0016324, GO:0005929, GO:0044782, GO:0005886, GO:0003677, GO:0036064, GO:0005737
CCFQ1_DN7347_c0_g1_i1.p1	GO:0016311, GO:0005829, GO:0045455, GO:0102531
CCFQ1_DN41256_c0_g1_i1.p1	GO:0046872, GO:0090502, GO:0004525, GO:0030422, GO:0005634, GO:0003723, GO:0005737
CCFQ1_DN38569_c0_g1_i1.p1	GO:0039645, GO:0042025, GO:0030683, GO:0006355, GO:0008270, GO:0039502, GO:0006351, GO:0003677, GO:0019904, GO:0003700, GO:0030430
CCFQ1_DN1072_c0_g1_i4.p1	GO:0031010, GO:0045944, GO:0006338, GO:0090263, GO:0005700, GO:0005634, GO:0016360, GO:0003714, GO:0016616, GO:0051287, GO:0042803, GO:0090090, GO:0000122, GO:0140297, GO:0035220, GO:0022416, GO:0003713
CCFQ1_DN9430_c0_g1_i1.p1	GO:0048691, GO:0046777, GO:0005634, GO:0035095, GO:1905870, GO:0050896, GO:0009931, GO:1905606, GO:0051019, GO:0004683, GO:0043204, GO:0004712, GO:0018105, GO:0048841, GO:0106310, GO:0005524, GO:0035556, GO:0046872, GO:0005516, GO:0045202, GO:0005737
CCFQ1_DN14543_c0_g1_i2.p1	GO:0016311, GO:0016020, GO:0016021, GO:0003993
CCFQ1_DN21581_c0_g1_i1.p1	GO:0007032, GO:0005802, GO:0001881, GO:0005829, GO:0042147, GO:0005769, GO:0032266, GO:0055037
CCFQ1_DN33931_c0_g1_i1.p1	GO:0051302, GO:0051726, GO:0005634, GO:0005694, GO:0003682, GO:0045893, GO:0031647, GO:0003713, GO:0006338, GO:0003677, GO:0006357, GO:0090043, GO:0000278, GO:0072686, GO:0140672, GO:0031063, GO:0045995, GO:0046872, GO:0035066, GO:0001932
CCFQ1_DN12080_c0_g1_i10.p1	GO:0003677, GO:0035556, GO:0016567, GO:0005654
CCFQ1_DN6755_c0_g1_i1.p1	GO:0070935, GO:0005634, GO:0003730, GO:0007283, GO:0032991, GO:0030154, GO:0005737, GO:0005515, GO:0008494, GO:0045948
CCFQ1_DN36166_c0_g1_i1.p1	GO:0030496, GO:0005876, GO:0008017, GO:0015630, GO:0005654, GO:0007080, GO:0060236, GO:0001578, GO:0005829, GO:0031116, GO:0007049, GO:0051301, GO:0045893, GO:0005819, GO:0005737, GO:0030308, GO:0045737, GO:0000922
CCFQ1_DN5907_c0_g1_i1.p1	GO:0005777, GO:0016021, GO:0016324, GO:0080019, GO:0035336, GO:0035002, GO:0006629, GO:0102965, GO:0005886, GO:0050062, GO:0045177, GO:0005737, GO:0035149
CCFQ1_DN8263_c0_g1_i1.p1	GO:0005634, GO:0009150, GO:0000166, GO:0005737, GO:0006790, GO:0043530
CCFQ1_DN7981_c0_g1_i6.p1	GO:0005634, GO:0098507, GO:0004651, GO:0005524, GO:0010628, GO:0006470, GO:0006370, GO:0004484, GO:0005525, GO:0008138
CCFQ1_DN9944_c0_g1_i1.p1	GO:0006417, GO:0005739, GO:0005840, GO:0019843, GO:0032543, GO:0043024
CCFQ1_DN1557_c0_g1_i3.p1	GO:0005856, GO:0003785, GO:0042989, GO:0006952, GO:0005938
CCFQ1_DN27203_c0_g1_i1.p1	GO:0005654, GO:0005730, GO:0005634, GO:0006364, GO:0003723, GO:0005615
CCFQ1_DN15461_c0_g1_i1.p1	GO:0033644, GO:0016020, GO:0005576, GO:0004040, GO:0001501, GO:0006935
CCFQ1_DN26417_c0_g1_i1.p1	GO:0071805, GO:0016021, GO:0008076, GO:0016020, GO:0034765, GO:0005249, GO:0030425
CCFQ1_DN19047_c0_g1_i2.p1	GO:0016021, GO:0006814, GO:0016020, GO:0006820, GO:0055085, GO:0015293
CCFQ1_DN5733_c0_g1_i3.p1	GO:0005856, GO:0000775, GO:0003281, GO:0005694, GO:0000776, GO:0035904, GO:0060976, GO:0005737, GO:0005515
CCFQ1_DN22389_c0_g1_i1.p1	GO:0045766, GO:0003376, GO:0005634, GO:0035924, GO:0038036, GO:1903978, GO:0032570, GO:0017050, GO:0005886, GO:0070555, GO:0045840, GO:1900060, GO:0046512, GO:0033198, GO:0000287, GO:0010976, GO:1905364, GO:0051092, GO:1901224, GO:0019371, GO:0003677, GO:0031398, GO:0043066, GO:0051721, GO:0007565, GO:0006473, GO:0001568, GO:0032651, GO:0008481, GO:0001956, GO:0032026, GO:0010800, GO:0007420, GO:0030100, GO:0019722, GO:0045931, GO:0050764, GO:0006954, GO:0098793, GO:0031901, GO:0046834, GO:0030424, GO:0005905, GO:0048146, GO:0005768, GO:0016407, GO:0005524, GO:0032740, GO:0010803, GO:0008289, GO:0030335, GO:0034612, GO:0005829, GO:0045987, GO:0030307, GO:0030139, GO:0005516, GO:0071897, GO:0014075, GO:1900745, GO:0070301, GO:0045202, GO:0005737, GO:0009267, GO:0003951, GO:0008021
CCFQ1_DN20854_c0_g1_i1.p1	GO:0007186, GO:0016020, GO:0016021, GO:0004930
CCFQ1_DN36720_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0006974, GO:0000282, GO:0005515
CCFQ1_DN8192_c0_g1_i2.p1	GO:0005856, GO:0048278, GO:0005628, GO:0035974, GO:0051301, GO:0051321, GO:0005198, GO:0030435, GO:0005737, GO:0005515, GO:0032120, GO:0000922
CCFQ1_DN1408_c1_g2_i3.p1	GO:0050790, GO:0042594, GO:0030866, GO:0007419, GO:0010001, GO:0005886, GO:0019991, GO:0007186, GO:0000578, GO:0016324, GO:0048699, GO:0001965, GO:0005096, GO:0009408, GO:0009786, GO:0045179, GO:0008069, GO:0005092, GO:0008277, GO:0032291, GO:0060857, GO:0055059, GO:0007303, GO:0050832, GO:0005829, GO:0003015, GO:0007049, GO:0007310, GO:0006979, GO:0009653, GO:0048477
CCFQ1_DN5940_c0_g1_i1.p1	GO:0060527, GO:0071481, GO:0048147, GO:1904956, GO:0010564, GO:0008585, GO:0030308, GO:0071356, GO:2000052, GO:0060070, GO:0021915, GO:0071305, GO:0030279, GO:0060766, GO:0045892, GO:0071456, GO:0071392, GO:0017147, GO:0045668, GO:2000271, GO:0009410, GO:0005829, GO:0030307, GO:0005615, GO:0071391, GO:0090244, GO:2000041, GO:0045600, GO:0046546, GO:0045893, GO:0045578, GO:0060218, GO:0005109, GO:0046851, GO:0090179, GO:0071560, GO:0005576, GO:0001756, GO:0001649, GO:1902043, GO:0050680, GO:0048546, GO:0062023, GO:0090246, GO:0046676, GO:0060687, GO:0010975, GO:0071347, GO:0050679, GO:0030336, GO:2000080, GO:0090263, GO:0001843, GO:0010719, GO:0050732, GO:0043508, GO:0010629, GO:0045880, GO:0030514, GO:0045671, GO:0030097, GO:0035019, GO:0008201, GO:0009950, GO:0009986, GO:0001657, GO:0044345, GO:0014034, GO:0008584, GO:0042802, GO:0071504, GO:0033689, GO:0071773, GO:0071542, GO:2000054, GO:0004197, GO:0060346, GO:0071380, GO:2000270, GO:0044344, GO:0009267
CCFQ1_DN35421_c0_g1_i1.p1	GO:0051428, GO:0007165, GO:0005634, GO:0005576, GO:0005737, GO:0005179, GO:0030282
CCFQ1_DN3569_c0_g1_i2.p1	GO:0051485, GO:0005739, GO:0032443, GO:1904182, GO:0005515
CCFQ1_DN38991_c0_g1_i1.p1	GO:0005634, GO:0007249, GO:0006915, GO:0043066, GO:0005515
CCFQ1_DN553_c0_g1_i5.p1	GO:0004712, GO:0000083, GO:0004693, GO:0051726, GO:0005634, GO:0005524, GO:0006468, GO:0106310, GO:0005737
CCFQ1_DN539_c0_g1_i2.p1	GO:0005524, GO:0007399, GO:0016020, GO:0016021
CCFQ1_DN6266_c0_g1_i2.p1	GO:0048789, GO:0090630, GO:0007266, GO:0045467, GO:0048790, GO:0005096, GO:0048846, GO:0048786, GO:0007416, GO:0098831, GO:0031594, GO:0097479
CCFQ1_DN10162_c0_g1_i1.p1	GO:0007224, GO:0007507, GO:0046872, GO:0030324, GO:0005634, GO:0035720, GO:0001822, GO:0007283, GO:0060271, GO:0030154, GO:0015031, GO:0001501, GO:0005515, GO:0070986
CCFQ1_DN6039_c0_g1_i1.p1	GO:0030134, GO:0071222, GO:0005886, GO:0005783, GO:0005794, GO:0006909, GO:0005793, GO:0006886, GO:0045087, GO:2000494, GO:0005515, GO:0042995, GO:0034145, GO:0006954, GO:0031901, GO:0001891, GO:0005768, GO:0007030, GO:0030667, GO:0006888, GO:0031902, GO:0043123, GO:0005737, GO:0035669
CCFQ1_DN16215_c0_g2_i1.p1	GO:0000466, GO:0000463, GO:0005739, GO:0042273, GO:0043021, GO:0042254, GO:0005737
CCFQ1_DN1122_c0_g1_i2.p1	GO:0005739, GO:0003735, GO:0005840, GO:0005763, GO:0005743, GO:0032543
CCFQ1_DN5592_c0_g1_i2.p1	GO:0071805, GO:0016021, GO:0051260, GO:0008076, GO:1902259, GO:0005886, GO:0005251
CCFQ1_DN864_c0_g1_i1.p1	GO:0004505, GO:0006726, GO:0019293, GO:0005506, GO:0042427, GO:0004510, GO:0006559, GO:0007616, GO:0005737
CCFQ1_DN11092_c0_g1_i2.p1	GO:0045944, GO:0000405, GO:0005694, GO:0005634, GO:0005829, GO:0000781, GO:0002949, GO:0000408, GO:0000722, GO:0003697
CCFQ1_DN38295_c0_g1_i1.p1	GO:0019068, GO:0019031, GO:0039660
CCFQ1_DN4591_c0_g1_i1.p1	GO:0043113, GO:0018991, GO:0007626, GO:0005886, GO:1904115, GO:0048490, GO:0030159, GO:1903744, GO:0019894, GO:0040011, GO:0030424, GO:0050808, GO:0050803, GO:1905608, GO:0140660, GO:0007274, GO:0045202, GO:0042803, GO:0048786, GO:0097445
CCFQ1_DN8699_c0_g1_i1.p1	GO:0000786, GO:0030261, GO:0031492, GO:0005634, GO:0005694, GO:0006334, GO:0030527, GO:0045910, GO:0003690
CCFQ1_DN1901_c0_g1_i1.p1	GO:0005829, GO:0043531, GO:0006096, GO:0004618, GO:0006094, GO:0005524, GO:0005737, GO:0035686
CCFQ1_DN4761_c0_g1_i1.p1	GO:0005789, GO:0016021, GO:0006487, GO:0006490, GO:0042283, GO:0005783
CCFQ1_DN28401_c0_g1_i1.p1	GO:0005739, GO:0006412, GO:0004829, GO:0006435, GO:0009507, GO:0005524, GO:0005737
CCFQ1_DN35120_c0_g1_i1.p1	GO:0061512, GO:0031514, GO:0044782, GO:0001932, GO:0048240, GO:0005515, GO:0030317
CCFQ1_DN13822_c0_g1_i1.p1	GO:0032045, GO:0003743, GO:0005085, GO:0050790, GO:0005851, GO:0009749, GO:0021766, GO:0006412, GO:0016779, GO:0009408, GO:0043434, GO:0050852, GO:0002183, GO:0005737, GO:0014003
CCFQ1_DN3045_c1_g3_i1.p1	GO:0007605, GO:0051015, GO:0030050, GO:0030426, GO:0030033, GO:0009925, GO:0005886, GO:0030034, GO:0016324, GO:0016328, GO:0016323, GO:0043005, GO:0000146, GO:0031982, GO:0030864, GO:0031252, GO:0031941, GO:0005902, GO:0005903, GO:0044853, GO:0005524, GO:0016459, GO:0015629, GO:0005516, GO:0032880, GO:0043025, GO:0005737
CCFQ1_DN10406_c0_g1_i1.p1	GO:0019076, GO:0019073, GO:0019029, GO:0005198
CCFQ1_DN7098_c0_g1_i2.p1	GO:1990573, GO:1902476, GO:0016021, GO:0055075, GO:0015379, GO:0055064, GO:0006884, GO:0005886
CCFQ1_DN11732_c1_g1_i1.p1	GO:0005739, GO:0046513, GO:0050291
CCFQ1_DN12970_c0_g1_i1.p1	GO:0016604, GO:0005654, GO:0005634, GO:0042802, GO:0005829, GO:0005737, GO:0045190
CCFQ1_DN3129_c0_g1_i2.p1	GO:0003431, GO:0005615, GO:0005576, GO:0098868, GO:0017151, GO:0097009, GO:0031012
CCFQ1_DN7425_c0_g1_i1.p1	GO:0010008, GO:0005789, GO:0005764, GO:0005739, GO:0098992, GO:0015288, GO:0005741, GO:0099013, GO:0044233, GO:0005765, GO:0042803, GO:0015031, GO:0019898, GO:0005783, GO:0005794, GO:0005768, GO:0005811, GO:1905146
CCFQ1_DN30356_c0_g1_i1.p1	GO:0071805, GO:0016021, GO:0008076, GO:0016020, GO:0034765, GO:0005249, GO:0030425
CCFQ1_DN11276_c0_g1_i1.p1	GO:0007165, GO:0005737, GO:0005515
CCFQ1_DN8848_c0_g1_i2.p1	GO:0042274, GO:0005737, GO:0030490, GO:0051082
CCFQ1_DN26487_c0_g1_i1.p1	GO:0006338, GO:0051783, GO:2000014, GO:0005634, GO:0040008, GO:0016514, GO:0009793, GO:0035060, GO:0005515
CCFQ1_DN32799_c0_g1_i1.p1	GO:1902358, GO:0015301, GO:0031969, GO:0008271, GO:0009507, GO:0015293, GO:0005887
CCFQ1_DN29262_c0_g1_i1.p1	GO:0005739, GO:0016740, GO:0006974, GO:0000282
CCFQ1_DN22527_c0_g1_i1.p1	GO:0071805, GO:0016021, GO:1903818, GO:0008076, GO:0022414, GO:0005886, GO:0044325, GO:0099104, GO:0005249
CCFQ1_DN4371_c0_g1_i1.p1	GO:0005634, GO:0008327, GO:0000122
CCFQ1_DN1172_c0_g1_i1.p1	GO:0090729, GO:0007595, GO:0005615, GO:0005576, GO:0050821
CCFQ1_DN27988_c0_g1_i1.p1	GO:0005634, GO:0005829, GO:0019901, GO:0002949, GO:0000408, GO:0005737, GO:0000722
CCFQ1_DN27713_c0_g1_i1.p1	GO:0031262, GO:0000775, GO:0005694, GO:0005634, GO:0000776, GO:0005874, GO:0007049, GO:0051301, GO:0005515, GO:0008608
CCFQ1_DN6575_c0_g1_i1.p1	GO:0005739, GO:0002926, GO:0016491, GO:0017183
CCFQ1_DN5388_c0_g1_i4.p1	GO:0005802, GO:0016021, GO:0042339, GO:0045130, GO:0001517, GO:0000139, GO:0006044, GO:0005794, GO:0005975
CCFQ1_DN8144_c0_g1_i1.p1	GO:0110146, GO:0016021, GO:0046872, GO:0030476, GO:0030435, GO:0110143
CCFQ1_DN1459_c0_g2_i1.p1	GO:0005634, GO:0005829, GO:0004577, GO:0006488, GO:0005783
CCFQ1_DN38562_c0_g1_i1.p1	GO:0000796, GO:0003682, GO:0000793, GO:0051301, GO:0007049, GO:0007076, GO:0005737
CCFQ1_DN7466_c0_g1_i2.p1	GO:0005634, GO:0043059, GO:0008022, GO:0043058, GO:0032413, GO:0040017, GO:0032587, GO:0005198, GO:0046662, GO:0006836, GO:0045214, GO:0007528, GO:0016010, GO:0005856, GO:0003779, GO:0040013, GO:0015870, GO:0046716, GO:0005737
CCFQ1_DN12273_c0_g1_i1.p1	GO:0007049, GO:0005515, GO:0005935
CCFQ1_DN9680_c0_g1_i1.p1	GO:0005739, GO:0009060, GO:0005515
CCFQ1_DN12374_c1_g1_i1.p1	GO:0005634, GO:0003682, GO:0042803, GO:0030154, GO:0005737, GO:0003713
CCFQ1_DN18682_c0_g1_i1.p1	GO:0005634, GO:0006355, GO:0050793, GO:0003677, GO:0003700
CCFQ1_DN17433_c0_g1_i1.p1	GO:1990559, GO:0016021, GO:0005739, GO:0005743, GO:0015228
CCFQ1_DN10802_c0_g1_i1.p1	GO:0016021, GO:0015627, GO:0009289, GO:0016020, GO:0015628, GO:0043230, GO:0042302
CCFQ1_DN12749_c0_g1_i1.p1	GO:0071922, GO:0000278, GO:0005654, GO:0007064, GO:0007080, GO:0005694, GO:0005634, GO:0031536, GO:0007076, GO:0051301, GO:0044877, GO:0006302, GO:0005737, GO:0005515, GO:0000785
CCFQ1_DN42972_c0_g1_i1.p1	GO:0022625, GO:0005739, GO:0003735, GO:0006412, GO:0003723, GO:0005840
CCFQ1_DN226_c0_g1_i3.p1	GO:0048511, GO:0005615, GO:0005576, GO:0005121, GO:0008083
CCFQ1_DN1733_c2_g2_i1.p1	GO:0016052, GO:0009272, GO:0031362, GO:0005509, GO:0004556, GO:0005886, GO:0005783
CCFQ1_DN14752_c0_g1_i1.p1	GO:0005856, GO:0070830, GO:0050790, GO:0034333, GO:0007021, GO:0031115, GO:0005923, GO:0005096, GO:0005815, GO:0016328, GO:0010812, GO:0005886, GO:0005912, GO:0007023, GO:0005737, GO:0000226, GO:0048487
CCFQ1_DN5271_c0_g1_i1.p1	GO:0016021, GO:0051965, GO:0016020, GO:0035254, GO:0097091, GO:0042803, GO:0006886
CCFQ1_DN35463_c0_g1_i1.p1	GO:0006809, GO:0046872, GO:1900015, GO:0032755, GO:0005829, GO:0004517, GO:0005516, GO:0005737, GO:0032310, GO:0018119, GO:0032757
CCFQ1_DN452_c0_g1_i5.p1	GO:0046872, GO:0006310, GO:0090657, GO:0005634, GO:0070182, GO:0006281, GO:0010569, GO:0003678, GO:0016887, GO:1904430, GO:0051539, GO:0006260, GO:0003677, GO:0045910, GO:0005524, GO:0032508
CCFQ1_DN8317_c0_g1_i1.p1	GO:0002009, GO:0007424, GO:0030046, GO:0007435, GO:0045874, GO:0007301, GO:0036058, GO:0034332, GO:0030717, GO:0030708, GO:0045743, GO:0120176, GO:0048513, GO:0007293, GO:0005886, GO:0045087, GO:0018108, GO:0090136, GO:0008335, GO:0045886, GO:0048167, GO:0008302, GO:0007616, GO:0007411, GO:0007169, GO:0007300, GO:0004712, GO:0031234, GO:0030154, GO:0007349, GO:0045172, GO:0005524, GO:0008064, GO:0030723, GO:0005829, GO:0005102, GO:0016319, GO:0004715, GO:0045742, GO:0048477
CCFQ1_DN12977_c1_g1_i1.p1	GO:0005634, GO:0032039, GO:0046872, GO:0034472
CCFQ1_DN36321_c0_g1_i1.p1	GO:0032039, GO:0005515, GO:0019046
CCFQ1_DN5159_c0_g1_i1.p1	GO:0050790, GO:0046872, GO:0005096, GO:0048205, GO:0009555, GO:0009793, GO:0000139, GO:0005794
CCFQ1_DN34767_c0_g1_i1.p2	GO:0017147, GO:0060070, GO:0005615, GO:0006915, GO:0005576, GO:0030154, GO:0090090
CCFQ1_DN11016_c0_g1_i2.p1	GO:0071805, GO:0008306, GO:0016021, GO:0051260, GO:0008076, GO:0007268, GO:0005886, GO:0045202, GO:0034765, GO:0005250, GO:0043204, GO:0030425
CCFQ1_DN28655_c0_g1_i1.p1	GO:0030173, GO:0090481, GO:0000139, GO:0015165, GO:0008643
CCFQ1_DN27124_c0_g1_i1.p1	GO:0000079, GO:0005634, GO:0005829, GO:0007049, GO:0051301, GO:0016538, GO:0000307, GO:0044772, GO:0005737
CCFQ1_DN33164_c0_g1_i1.p1	GO:0003676, GO:0046872, GO:0000738, GO:0005739, GO:0009507, GO:0008296, GO:0005737, GO:0090305
CCFQ1_DN7811_c0_g1_i1.p1	GO:0034116, GO:0005577, GO:0036345, GO:0090331, GO:0045907, GO:0072562, GO:0007160, GO:0009986, GO:0005886, GO:0031091, GO:0070374, GO:0071354, GO:0071347, GO:1902042, GO:0042802, GO:0005576, GO:0009306, GO:0005788, GO:2000352, GO:0072378, GO:0045921, GO:0051592, GO:0070527, GO:1900026, GO:0009897, GO:0030168, GO:0005201, GO:0007596, GO:0031093, GO:0050839, GO:0046872, GO:0090277, GO:0031639, GO:0005102, GO:0005615, GO:0050714, GO:0070062, GO:0005737, GO:0042730, GO:0062023, GO:0051258
