PAVE1_DN73601_c0_g1_i1.p1	GO:0005634, GO:0051059, GO:0051092
PAVE1_DN12907_c0_g1_i1.p1	GO:0001707, GO:0003007, GO:0001708, GO:0005634, GO:0000978, GO:0000981, GO:0045893, GO:0006357
PAVE1_DN1881_c0_g1_i1.p1	GO:0000460, GO:0005634, GO:0005515
PAVE1_DN22017_c0_g1_i1.p1	GO:0046872, GO:0005634, GO:0051726, GO:0043066, GO:0065008
PAVE1_DN8123_c0_g1_i6.p1	GO:0003676, GO:0007283, GO:0031965, GO:0005634, GO:0030154, GO:0051321, GO:0043186, GO:0005737, GO:0016887, GO:0005829, GO:1990923, GO:0005694, GO:0005524, GO:0031047, GO:0003724
PAVE1_DN64182_c0_g1_i1.p1	GO:0032496, GO:0046872, GO:0050832, GO:0005654, GO:0042582, GO:1990268, GO:0002149, GO:0042742, GO:0001878, GO:0020037, GO:0042744, GO:0006979, GO:0008201, GO:0034374, GO:0004601, GO:0005739, GO:0032094, GO:0019430, GO:0005615, GO:0002679, GO:0009612, GO:0007568
PAVE1_DN5990_c0_g1_i1.p1	GO:0000413, GO:0005634, GO:0005737, GO:0006457, GO:0003755, GO:0000775, GO:0030289
PAVE1_DN70938_c0_g1_i1.p1	GO:0005515, GO:0045040, GO:0005634, GO:0005737, GO:0005829, GO:0051131, GO:0006457, GO:0005524, GO:0070062, GO:0140662, GO:0006986, GO:0005739
PAVE1_DN11836_c0_g4_i1.p1	GO:0009507, GO:0030437, GO:0051321, GO:0005515
PAVE1_DN80860_c0_g1_i1.p1	GO:0042421, GO:0005615, GO:0006589, GO:0004500, GO:0042420, GO:0005507, GO:0030667
PAVE1_DN15008_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0030097, GO:0016020, GO:0043931, GO:0006695
PAVE1_DN5367_c1_g1_i2.p1	GO:1990380, GO:0043065, GO:0045087, GO:0005634, GO:0004843, GO:0051607, GO:0005737, GO:0005829, GO:0060340, GO:0050821, GO:0071108, GO:0061578, GO:0006511, GO:0070536, GO:0004197
PAVE1_DN78778_c0_g1_i1.p2	GO:0106310, GO:0006468, GO:0005515, GO:0005654, GO:0005634, GO:0016592, GO:0005730, GO:0008353, GO:0051726, GO:0005524, GO:0004693, GO:0004712
PAVE1_DN58425_c0_g1_i1.p1	GO:0016021, GO:0007283, GO:0006508, GO:0030154, GO:0016020, GO:0004222, GO:0007339, GO:0007155
PAVE1_DN37187_c0_g1_i1.p1	GO:0031146, GO:0005515, GO:0019005
PAVE1_DN77727_c0_g1_i1.p1	GO:0009631, GO:0048364, GO:0005634, GO:0009738, GO:0003712, GO:0045944, GO:0016592, GO:0010150, GO:0042542
PAVE1_DN31034_c0_g1_i1.p1	GO:0016324, GO:0043495, GO:0072659
PAVE1_DN4011_c0_g2_i2.p1	GO:0005886, GO:0016021, GO:0007166, GO:0005515
PAVE1_DN26865_c0_g1_i1.p1	GO:0006882, GO:0016021, GO:0005789, GO:0038023, GO:0005783
PAVE1_DN1711_c3_g1_i1.p1	GO:0030574, GO:0006508, GO:0005576, GO:0034769, GO:0016671
PAVE1_DN15603_c0_g1_i2.p1	GO:0016226, GO:0010181, GO:0050660, GO:0036245, GO:0050661, GO:0005737, GO:0048471, GO:0005829, GO:0016731, GO:0003958, GO:0009055, GO:0008219, GO:0022900
PAVE1_DN4080_c1_g2_i3.p1	GO:0005856, GO:0006351, GO:0005634, GO:0005737, GO:0007049, GO:0036064, GO:0003677, GO:0002318, GO:1902806, GO:0005929
PAVE1_DN47510_c0_g1_i1.p1	GO:0031334, GO:0007283, GO:0006915, GO:0042981, GO:0090200, GO:0005737, GO:0051400, GO:0008637, GO:0008584, GO:0044877
PAVE1_DN26695_c0_g1_i1.p1	GO:0060468, GO:0035805, GO:0016021, GO:0007338, GO:0005576, GO:0007339, GO:0005886, GO:0032190, GO:0062023, GO:0035804
PAVE1_DN678_c0_g1_i2.p1	GO:0005515, GO:0005787, GO:0045047, GO:0005789, GO:0006465, GO:0005783, GO:0030176
PAVE1_DN853_c2_g1_i7.p1	GO:0016020, GO:0016021, GO:0050829, GO:0003796
PAVE1_DN1277_c0_g1_i1.p1	GO:0005856, GO:0106310, GO:0004674, GO:0006468, GO:0005634, GO:0005737, GO:0032465, GO:0000278, GO:0005813, GO:0005524, GO:0005814, GO:0000922, GO:0004712
PAVE1_DN11294_c0_g1_i5.p1	GO:0008270, GO:0045087, GO:0005576, GO:0009253, GO:0042834, GO:0008745
PAVE1_DN15202_c0_g1_i4.p1	GO:0035556, GO:0005515, GO:0004842, GO:0016567, GO:0005829
PAVE1_DN788_c0_g1_i1.p1	GO:0045665, GO:0000932, GO:0006397, GO:0000339, GO:1990726, GO:0005634, GO:0005737, GO:0071044, GO:0000290, GO:0008380, GO:0019827
PAVE1_DN273_c4_g1_i2.p1	GO:0002576, GO:0043005, GO:0060749, GO:1900046, GO:0007623, GO:0045600, GO:0046849, GO:0030279, GO:0005737, GO:0005506, GO:0004510, GO:0035902, GO:0042427, GO:0009072
PAVE1_DN20112_c0_g1_i1.p1	GO:0005509, GO:0034606, GO:0070588, GO:0043204, GO:0005262, GO:0071683, GO:0050982, GO:0060170, GO:0043025, GO:0097730, GO:0034608, GO:0005886, GO:0023041, GO:0016021, GO:1902435, GO:0005789, GO:0048471, GO:0030424, GO:0005783
PAVE1_DN4321_c0_g1_i1.p1	GO:0090503, GO:0046872, GO:0071359, GO:0006397, GO:0045070, GO:0004535, GO:0090324, GO:0000958, GO:0000288, GO:0035457, GO:0060548, GO:0044528, GO:0005759, GO:0071346, GO:0005739
PAVE1_DN13056_c0_g1_i1.p1	GO:0060468, GO:0035805, GO:0016021, GO:0005771, GO:0007338, GO:0005576, GO:0007339, GO:0005886, GO:0032190, GO:0062023, GO:0005783, GO:0035804
PAVE1_DN4248_c0_g1_i1.p1	GO:0005515, GO:0042073, GO:0060041, GO:0060271, GO:0048793, GO:0036064, GO:0005930, GO:0030992, GO:0005929, GO:0045494, GO:0032006
PAVE1_DN13639_c1_g3_i2.p1	GO:1903569, GO:0098797, GO:0005509, GO:0045944, GO:0060170, GO:0042307, GO:0019898, GO:0005886, GO:0005929
PAVE1_DN35721_c0_g1_i1.p1	GO:0046872, GO:0018149, GO:0031225, GO:0005794, GO:0005737, GO:0005576, GO:0005886, GO:0062023, GO:0042628, GO:0003810
PAVE1_DN19515_c0_g1_i1.p1	GO:0016021, GO:0015020, GO:0005794, GO:0042285, GO:0000139, GO:0035269
PAVE1_DN66649_c0_g1_i1.p1	GO:0006388, GO:0005634, GO:0005737, GO:0048471, GO:0034518, GO:0016791
PAVE1_DN79047_c0_g1_i1.p1	GO:0042592, GO:0005576, GO:0005886, GO:0007411, GO:0048018, GO:0007155
PAVE1_DN8743_c0_g1_i1.p1	GO:0030317, GO:0007283, GO:0034614, GO:0030154, GO:0004791, GO:0005737, GO:0003756, GO:0098869, GO:0001520, GO:0036126
PAVE1_DN1622_c0_g1_i2.p1	GO:0008307, GO:0016021, GO:0060402, GO:0007517, GO:0014701, GO:0005654, GO:0030018, GO:0030314, GO:0016529, GO:0005515, GO:0005886, GO:0060314
PAVE1_DN56782_c0_g1_i1.p1	GO:0016021, GO:0008076, GO:0016020, GO:0071805, GO:0030425, GO:0034765, GO:0005249
PAVE1_DN57266_c0_g1_i1.p1	GO:0009953, GO:0006915, GO:0005737, GO:0071889, GO:0001666, GO:0032007, GO:0005739
PAVE1_DN82209_c0_g1_i1.p1	GO:0004725, GO:0005829, GO:0001525, GO:0005737
PAVE1_DN1724_c0_g1_i2.p1	GO:0005634, GO:0000463, GO:0042254, GO:0016887, GO:0005730, GO:0005524, GO:0003724, GO:0003723
PAVE1_DN2216_c0_g1_i2.p1	GO:0030150, GO:0005515, GO:0005737
PAVE1_DN57650_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0007186, GO:0004930, GO:0020002
PAVE1_DN7686_c0_g1_i3.p1	GO:0046854, GO:0010498, GO:0035556, GO:0001772, GO:0050868, GO:0005515, GO:0001678, GO:0016567, GO:0043551, GO:0005829, GO:0040008, GO:0046935, GO:0005942, GO:0009968
PAVE1_DN28971_c0_g1_i1.p1	GO:0003978, GO:0005829, GO:0003974, GO:0033499, GO:0035167
PAVE1_DN37041_c0_g1_i1.p1	GO:0051224, GO:0051493, GO:0003723, GO:0005634, GO:0008017, GO:0051607, GO:0010497, GO:0009414, GO:0005737, GO:0043622, GO:0002230, GO:0010375
PAVE1_DN4307_c0_g1_i2.p1	GO:0005634, GO:0045944, GO:0000978, GO:0000981
PAVE1_DN5305_c0_g1_i4.p1	GO:0005615, GO:0046693, GO:0045434, GO:0005576, GO:0019953, GO:0004252, GO:0031638
PAVE1_DN19843_c0_g1_i1.p1	GO:0009097, GO:0006094, GO:0005737, GO:0004794, GO:0030170, GO:0003941, GO:0006567
PAVE1_DN46672_c0_g1_i1.p1	GO:0017056, GO:0000972, GO:0005515, GO:0044611, GO:0031965, GO:0005634, GO:0005643, GO:0006998, GO:0005635, GO:0006406, GO:0005737, GO:0006606, GO:0035196, GO:0086014, GO:0036228
PAVE1_DN67251_c0_g1_i1.p1	GO:0005615, GO:0005509, GO:0031153, GO:0031410, GO:0043086, GO:0005576, GO:0032579, GO:0009374, GO:0033166
PAVE1_DN79462_c0_g1_i1.p1	GO:1903118, GO:0005634, GO:0005509, GO:0005635
PAVE1_DN52060_c0_g1_i1.p1	GO:0005515, GO:0016021, GO:0016020, GO:0005783, GO:0055088
PAVE1_DN6046_c0_g1_i5.p1	GO:0005874, GO:0003924, GO:0016020, GO:0008017, GO:0005737, GO:0007049, GO:0000266, GO:0005525, GO:0051301, GO:0016559, GO:0007031, GO:0005777, GO:0005739
PAVE1_DN54289_c0_g1_i1.p1	GO:2000786, GO:0039545, GO:0042802, GO:0039502, GO:0042025, GO:0030683, GO:0050687, GO:0090258
PAVE1_DN3520_c0_g2_i6.p1	GO:0008270, GO:0071704, GO:0043235, GO:0016020, GO:0044238, GO:0005887
PAVE1_DN4362_c0_g1_i3.p1	GO:1904315, GO:0016021, GO:0045211, GO:0035235, GO:0035249, GO:0034220, GO:0032983, GO:0015277, GO:0042734, GO:0050804, GO:0005886, GO:0045202, GO:0060078
PAVE1_DN20019_c0_g1_i2.p1	GO:0005515, GO:0007129, GO:0051321, GO:0016925, GO:0007130, GO:0000795, GO:0000794, GO:0007131
PAVE1_DN17336_c0_g1_i2.p1	GO:0097475, GO:0005125, GO:0007399, GO:0005109, GO:0040025, GO:1905485, GO:1904936, GO:0005576, GO:0009948, GO:0033564, GO:0030182, GO:0060573, GO:0060070, GO:1904937, GO:0048699, GO:0009792, GO:0045165, GO:0005615, GO:0010084, GO:0097402
PAVE1_DN67817_c0_g1_i2.p1	GO:0043161, GO:0016567, GO:0030162, GO:0005576, GO:0031625
PAVE1_DN6058_c0_g2_i3.p1	GO:0046872, GO:0061630, GO:0006915, GO:0005634, GO:0005794, GO:0005737, GO:0005829, GO:2001243, GO:0005730, GO:0001824, GO:0000209
PAVE1_DN11855_c0_g1_i1.p1	GO:0005856, GO:0030496, GO:0010457, GO:0008017, GO:0005737, GO:0007098, GO:0005813, GO:0007099, GO:0005814, GO:0000922
PAVE1_DN2339_c4_g1_i1.p1	GO:0030683, GO:0005216, GO:0039553, GO:0005576
PAVE1_DN21643_c0_g1_i1.p1	GO:0006909, GO:0007010, GO:0005737, GO:0005524, GO:0005200, GO:0017022, GO:0015629
PAVE1_DN22988_c0_g2_i1.p1	GO:0048260, GO:0040036, GO:0016192, GO:0140662, GO:0034620, GO:0005634, GO:0031072, GO:0051082, GO:0005737, GO:0016887, GO:0031101, GO:0005829, GO:0005886, GO:1902946, GO:0005524, GO:0051085, GO:0042026, GO:0051787
PAVE1_DN51021_c0_g1_i1.p1	GO:0004725, GO:0006470, GO:0030430
PAVE1_DN38011_c0_g1_i1.p1	GO:0007340, GO:0007342, GO:0035036, GO:0005576, GO:0005549, GO:0009566
PAVE1_DN8297_c0_g1_i1.p1	GO:0046718, GO:0016021, GO:0016020, GO:0042802, GO:0001618, GO:0043231
PAVE1_DN38101_c0_g1_i1.p1	GO:0030430, GO:0016887, GO:0000166, GO:0019079, GO:0000287, GO:0003723
PAVE1_DN2924_c0_g1_i2.p1	GO:0048621, GO:0005515, GO:0005882, GO:0005737
PAVE1_DN19358_c0_g1_i2.p1	GO:0005515, GO:0030430, GO:0042025, GO:0030683, GO:0039644, GO:1904855, GO:0039503
PAVE1_DN1890_c0_g1_i1.p1	GO:0005615, GO:0005515, GO:0045087, GO:0009617, GO:0005576, GO:0034644, GO:0034605
PAVE1_DN20142_c0_g1_i2.p1	GO:0006965, GO:0005125, GO:0009611, GO:0005121, GO:0009953, GO:0050829, GO:0005576, GO:0045752, GO:0050830, GO:0042542, GO:0061760, GO:0035212, GO:0021556, GO:0031640, GO:0008083, GO:0042803, GO:0002347, GO:0007310, GO:0007526, GO:0005615, GO:0008063, GO:0006967, GO:0008045
PAVE1_DN54658_c0_g1_i1.p1	GO:0030282, GO:0005634, GO:0005179, GO:0007165, GO:0005737, GO:0005576, GO:0051428
PAVE1_DN80092_c0_g1_i1.p1	GO:1904382, GO:0005509, GO:0045047, GO:0005789, GO:1904154, GO:0097466, GO:0016235, GO:0044322, GO:0004571, GO:0005783, GO:0005975, GO:0036510, GO:0006986, GO:0051787, GO:0030176
PAVE1_DN29294_c0_g1_i1.p1	GO:0005788, GO:0018242, GO:0140562, GO:0012505, GO:0140561, GO:0005783
PAVE1_DN40125_c0_g1_i1.p1	GO:0042953, GO:0005044, GO:0005581, GO:0030169, GO:0006911, GO:0030301, GO:0031410, GO:0010629, GO:0010886, GO:0009897, GO:0006898, GO:0034362, GO:0005886, GO:0001540, GO:0097242, GO:0016021, GO:0034381, GO:0005829, GO:0010744
PAVE1_DN63570_c0_g1_i2.p1	GO:0007009, GO:0005546, GO:0005811, GO:0120009, GO:0120020, GO:0015485, GO:0008526, GO:0005737, GO:0005829, GO:0051289, GO:0005886, GO:0031234, GO:0015914, GO:0032367, GO:0043231
PAVE1_DN4827_c0_g1_i1.p1	GO:0005886, GO:0007156, GO:0005509, GO:0005887
PAVE1_DN6950_c0_g1_i1.p1	GO:0006811, GO:0070830, GO:0016021, GO:0042802, GO:0051928, GO:0005886, GO:0016338, GO:0005198, GO:0005923, GO:0070633
PAVE1_DN10353_c0_g1_i2.p1	GO:0031145, GO:0005515, GO:0045842, GO:0016567, GO:0005634, GO:0005737, GO:0007049, GO:0051301, GO:0005680, GO:0032875, GO:0010087, GO:0007091
PAVE1_DN30703_c0_g1_i1.p1	GO:0005840, GO:0003729, GO:0022625, GO:0000463, GO:0003735, GO:0006412
PAVE1_DN84094_c0_g1_i1.p1	GO:0032922, GO:0002199, GO:0005634, GO:0002638, GO:0046466, GO:0006665, GO:0005509, GO:0005576, GO:0007339, GO:0001675, GO:0001669, GO:0044297
PAVE1_DN4912_c0_g1_i4.p1	GO:0045880, GO:0048477, GO:0030727, GO:0030154, GO:0030718, GO:0003730, GO:0048132, GO:0045169, GO:0043130, GO:0005737, GO:0007284, GO:0035212, GO:0007283, GO:0098730, GO:0045478, GO:0017148, GO:0045170, GO:0000900, GO:0007049, GO:1903006, GO:2000738, GO:0061060, GO:0007282
PAVE1_DN81539_c0_g1_i1.p1	GO:0016021, GO:0008250, GO:0006487, GO:0004579, GO:0005789, GO:0005783
PAVE1_DN52006_c0_g1_i1.p1	GO:0005515, GO:0007283, GO:0045948, GO:0005634, GO:0030154, GO:0008494, GO:0005737, GO:0070935, GO:0032991, GO:0003730
PAVE1_DN59260_c0_g1_i1.p1	GO:0007342, GO:0016021, GO:0060478, GO:0002079, GO:0005515, GO:0002080, GO:0031410, GO:0006897, GO:0005886, GO:0002081
PAVE1_DN39533_c0_g1_i1.p1	GO:0075528, GO:0033644, GO:0016021, GO:0001848, GO:0016020, GO:0030683
PAVE1_DN58808_c0_g1_i1.p1	GO:0008643, GO:0055085, GO:0022857, GO:0005789, GO:0005783, GO:0030176
PAVE1_DN5796_c1_g1_i2.p1	GO:0005515, GO:0030430, GO:0005576, GO:0030683, GO:0039503
PAVE1_DN4981_c0_g1_i1.p1	GO:0030433, GO:0003676, GO:0030430, GO:0031503, GO:0016050, GO:0015031, GO:0061912
PAVE1_DN4571_c0_g1_i8.p1	GO:0004809, GO:0005515, GO:0005737, GO:0005730, GO:0005829, GO:0002940, GO:0003723
PAVE1_DN61327_c0_g1_i1.p1	GO:0046872, GO:0016310, GO:0016021, GO:0016020, GO:0050201, GO:0047341, GO:0005829, GO:0009506, GO:0005524, GO:0005975, GO:0042352
PAVE1_DN23015_c0_g1_i1.p1	GO:0006888, GO:0005802, GO:0005515, GO:0005794, GO:0006901, GO:0005737, GO:0005801, GO:0005829, GO:0043087, GO:0099022, GO:0007399, GO:1990071, GO:0005783
PAVE1_DN58268_c0_g1_i1.p1	GO:0043539, GO:0005125, GO:0002637, GO:0042995, GO:0005174, GO:0043066, GO:0009986, GO:0042100, GO:0071902, GO:0045190, GO:2000353, GO:0032733, GO:2001200, GO:0045348, GO:0005576, GO:0032735, GO:0005178, GO:0044297, GO:1901652, GO:0097028, GO:0051092, GO:0009897, GO:0030168, GO:0033590, GO:0030183, GO:0005886, GO:0042102, GO:0071356, GO:0032729, GO:0016021, GO:0005615, GO:0030890, GO:0005164, GO:0032753, GO:0006954, GO:0007229, GO:0023035, GO:0006955, GO:0002839
PAVE1_DN36482_c0_g1_i1.p1	GO:0098797, GO:0016021, GO:0005515, GO:0043235, GO:0070482, GO:0040017, GO:0005886, GO:0097400, GO:0030368, GO:0050893
PAVE1_DN6047_c0_g1_i1.p1	GO:0005654, GO:0035556, GO:0003677, GO:0016567
PAVE1_DN8902_c0_g1_i2.p1	GO:0046872, GO:0051308, GO:0005634, GO:0051321, GO:0007141, GO:0030849
PAVE1_DN1350_c0_g1_i1.p1	GO:0005509, GO:0000331, GO:0050790, GO:0030234
PAVE1_DN15113_c0_g3_i1.p1	GO:0006402, GO:0030014, GO:0005515, GO:0005634, GO:0017148, GO:0005737, GO:0031047
PAVE1_DN12765_c0_g1_i2.p1	GO:0007040, GO:0016021, GO:0016020, GO:0005829, GO:0005102
PAVE1_DN7285_c0_g1_i5.p1	GO:0016603, GO:0008270, GO:0017186, GO:0005576
PAVE1_DN9155_c0_g1_i3.p1	GO:0140351, GO:0005515, GO:0031902, GO:0012505, GO:1905103, GO:0045332, GO:0005789, GO:0005768, GO:0016887, GO:0005765, GO:0140345, GO:0005886, GO:1990531, GO:0005524, GO:0000287, GO:0005783, GO:0097212, GO:0005764
PAVE1_DN77352_c0_g1_i1.p1	GO:0033644, GO:0016021, GO:0004867, GO:0019828, GO:0045087, GO:0016020, GO:0004869, GO:0055036, GO:0042742, GO:0019031
PAVE1_DN72515_c0_g1_i1.p1	GO:0005634, GO:0000978, GO:0000981, GO:0006355
PAVE1_DN79402_c0_g1_i1.p1	GO:0005856, GO:0000122, GO:0000781, GO:0005664, GO:0005815, GO:0008327, GO:0005721, GO:0005634, GO:0035098, GO:0005737, GO:0006325, GO:0071169, GO:0006260, GO:0031491, GO:0005694, GO:0000775, GO:0000776, GO:0035064
PAVE1_DN34920_c0_g1_i1.p1	GO:0015074, GO:0046718, GO:0005515, GO:0044826, GO:0030430, GO:0044177, GO:0019033, GO:0075713, GO:0006310
PAVE1_DN5922_c1_g1_i1.p1	GO:0051493, GO:0016021, GO:0005515, GO:0016020, GO:0033147, GO:0006469, GO:0043627
PAVE1_DN74317_c0_g1_i1.p1	GO:0006581, GO:0019695, GO:0004453, GO:0005576
PAVE1_DN9876_c1_g6_i1.p1	GO:0020037, GO:0005789, GO:0004497, GO:0005506, GO:0007618, GO:0005737, GO:0016705, GO:0005783
PAVE1_DN1636_c0_g1_i7.p1	GO:0005615, GO:0007596, GO:0045959, GO:0045732, GO:0005515, GO:1903027, GO:0045087, GO:0006958, GO:0005576, GO:0009609, GO:0005886
PAVE1_DN8083_c0_g1_i2.p1	GO:0005737, GO:0006777, GO:0005829, GO:0019008, GO:0030366
PAVE1_DN5260_c0_g1_i1.p1	GO:0005515, GO:0005634, GO:0045944, GO:0000070, GO:0051382, GO:0005694, GO:0000775, GO:0000776
PAVE1_DN84652_c1_g1_i1.p1	GO:0046872, GO:0004519, GO:0005634, GO:0006278, GO:0003964, GO:0090305
PAVE1_DN4370_c0_g1_i7.p1	GO:0032590, GO:0016021, GO:0043621, GO:0005576, GO:0003391, GO:0005886, GO:0030425, GO:0007399, GO:1990138
PAVE1_DN24536_c0_g1_i2.p1	GO:0097264, GO:0030246, GO:0005886, GO:0016936, GO:0005887, GO:0007189, GO:0007166
PAVE1_DN78793_c0_g1_i1.p1	GO:0106310, GO:0035175, GO:0005634, GO:0005694, GO:0005819, GO:0044022, GO:0043988, GO:0032133, GO:0005737, GO:0043987, GO:0051233, GO:0004712, GO:0005515, GO:0000278, GO:0005524, GO:0005876, GO:0007059, GO:0048471, GO:0007052, GO:0032465, GO:0000775
PAVE1_DN16578_c0_g1_i1.p1	GO:0003682, GO:0006334, GO:0005634, GO:0042393, GO:0000785
PAVE1_DN61816_c0_g1_i1.p1	GO:0004867, GO:0005615, GO:0010951, GO:0005576
PAVE1_DN82604_c0_g1_i1.p1	GO:0030178, GO:0001650, GO:0090630, GO:0005634, GO:0008285, GO:0005737, GO:0008013, GO:2000009, GO:0005886, GO:0008022, GO:0015629, GO:0016055, GO:0007266
PAVE1_DN6499_c0_g1_i2.p1	GO:0005840, GO:0008097, GO:0003735, GO:0006412, GO:0005762, GO:0005739
PAVE1_DN21900_c0_g1_i1.p1	GO:0002682, GO:0005615, GO:0010628, GO:0019864, GO:0006508, GO:0005634, GO:0042802, GO:0004190, GO:0005576, GO:0001580, GO:0070233
PAVE1_DN6788_c0_g2_i1.p1	GO:0046854, GO:0005737, GO:0005886, GO:0048015, GO:0004430
PAVE1_DN12202_c1_g1_i1.p1	GO:0008289, GO:0006744, GO:0005743, GO:0005739
PAVE1_DN69516_c0_g1_i1.p1	GO:0007340, GO:0097731, GO:0007283, GO:0120160, GO:0005829, GO:0009566
PAVE1_DN72038_c0_g1_i1.p1	GO:0050524, GO:0005737, GO:0015948
PAVE1_DN736_c0_g2_i5.p1	GO:0008270, GO:0005615, GO:0045087, GO:0005737, GO:0009253, GO:0005576, GO:0042834, GO:0008745
PAVE1_DN1073_c0_g1_i1.p1	GO:0043161, GO:0016567, GO:0005634, GO:0030162, GO:0005737, GO:0031625
PAVE1_DN15102_c0_g1_i1.p1	GO:0010042, GO:0005794, GO:0042803, GO:0005576, GO:0071548, GO:0005783, GO:0070528
PAVE1_DN38884_c0_g1_i1.p1	GO:0016021, GO:0005515, GO:0016020, GO:0007049, GO:0055036, GO:0051301, GO:0019031, GO:0005096
PAVE1_DN68620_c0_g1_i1.p1	GO:0005515, GO:0030430, GO:0039576, GO:0039502, GO:0030683
PAVE1_DN2452_c0_g1_i2.p1	GO:0046872, GO:0017087, GO:0004222, GO:0005759, GO:0006627, GO:0005739
PAVE1_DN26734_c0_g1_i1.p1	GO:0009953, GO:0060828, GO:0005515, GO:0000578, GO:0005654, GO:2000055, GO:0005634, GO:0031648
PAVE1_DN601_c0_g1_i3.p1	GO:0008270, GO:0003725, GO:0005634, GO:0051607, GO:0005737, GO:0003727, GO:0003677
PAVE1_DN7861_c0_g2_i2.p1	GO:0036066, GO:0016021, GO:0006004, GO:0016020, GO:0046922
PAVE1_DN76982_c0_g1_i1.p1	GO:0019233, GO:0005654, GO:0009408, GO:0008049, GO:0070588, GO:0050965, GO:0007620, GO:0003677, GO:0007631, GO:0050966, GO:0043052, GO:0045924, GO:0007638, GO:0042048, GO:0048266, GO:0008016, GO:0050960, GO:0035179, GO:0048060
PAVE1_DN24574_c0_g1_i1.p1	GO:0020037, GO:0016021, GO:0016020, GO:0008395, GO:0005737, GO:0005506, GO:0006805, GO:0016712, GO:0006082, GO:0043231
PAVE1_DN1519_c1_g2_i1.p1	GO:0005856, GO:0007017, GO:0005874, GO:0007010, GO:0005737, GO:0005525, GO:0005200
PAVE1_DN40463_c0_g1_i1.p1	GO:0008270, GO:0030574, GO:0006508, GO:0042406, GO:0005789, GO:0030198, GO:0004222, GO:0031012, GO:0005783
PAVE1_DN39906_c0_g1_i1.p1	GO:0005515, GO:0007283, GO:0045948, GO:0005634, GO:0030154, GO:0008494, GO:0005737, GO:0070935, GO:0032991, GO:0003730
PAVE1_DN586_c0_g1_i3.p1	GO:0046872, GO:0030433, GO:0061630, GO:0043130, GO:1904294, GO:0044877, GO:0005739, GO:0071712, GO:0005741, GO:0044314, GO:0006914, GO:0016021, GO:0045087, GO:0051607, GO:0051865, GO:0005789, GO:0044390, GO:0060340, GO:0005783
PAVE1_DN59802_c0_g1_i1.p1	GO:0005515, GO:0016021, GO:0030683, GO:0031966, GO:0005739
PAVE1_DN52400_c0_g1_i1.p1	GO:0005515, GO:0006626, GO:0101031, GO:0005829, GO:0097255, GO:1990062
PAVE1_DN80298_c0_g1_i1.p1	GO:0048856, GO:0008270, GO:0005634, GO:0030154, GO:0004879, GO:0000978, GO:0030522, GO:0006357
PAVE1_DN21798_c1_g1_i1.p1	GO:0006351, GO:0003700, GO:0042025, GO:0006275, GO:0039693, GO:0000166, GO:0006260, GO:0003677, GO:0006355
PAVE1_DN684_c0_g1_i3.p1	GO:0016021, GO:0007283, GO:0048477, GO:0030154, GO:0005509, GO:0005886
PAVE1_DN21937_c0_g1_i1.p1	GO:0140297, GO:0005634, GO:0061419, GO:0005737, GO:0007221, GO:0007219, GO:0000978, GO:0001228
PAVE1_DN2898_c0_g1_i9.p1	GO:0046872, GO:0005634, GO:0006308, GO:0005737, GO:0005829, GO:0090305, GO:0008296
PAVE1_DN7874_c0_g1_i3.p1	GO:0046872, GO:0005634, GO:0045944, GO:0032259, GO:0003677, GO:0008168
PAVE1_DN23229_c0_g1_i1.p2	GO:0071365, GO:0009691, GO:0016020, GO:0055036, GO:0071368, GO:0044177, GO:0000405, GO:0019031, GO:0005975, GO:0003697, GO:0020002
PAVE1_DN66669_c0_g1_i1.p1	GO:0003723, GO:0005515, GO:0007099, GO:0005737
PAVE1_DN53819_c0_g1_i1.p1	GO:0005315, GO:0005743, GO:0031305, GO:1990547, GO:0005739
PAVE1_DN72683_c0_g1_i1.p1	GO:0005515, GO:0005654, GO:0006915, GO:0005634, GO:0007049, GO:0034080, GO:0051301, GO:0005694, GO:0000775, GO:0000776, GO:0006355
PAVE1_DN3588_c0_g1_i5.p1	GO:0032496, GO:0008270, GO:0043123, GO:0007507, GO:0045860, GO:0043130, GO:0070530, GO:0005694, GO:0010507
PAVE1_DN73194_c0_g1_i1.p2	GO:0005615, GO:0045087, GO:0006508, GO:0005509, GO:0006958, GO:0004252
PAVE1_DN71003_c0_g1_i1.p1	GO:0005515, GO:0005634, GO:0005829, GO:0039644, GO:1904855
PAVE1_DN8126_c0_g1_i1.p1	GO:0033644, GO:0016021, GO:0005515, GO:2000221, GO:0051321, GO:0016020, GO:0030435, GO:0080009
PAVE1_DN42931_c0_g1_i1.p1	GO:0009860, GO:0009567, GO:0004124, GO:0042802, GO:0005737, GO:0006535, GO:0005739
PAVE1_DN48393_c0_g1_i1.p1	GO:0097731, GO:0120160, GO:0044782, GO:0005829, GO:0060322
PAVE1_DN31447_c0_g1_i1.p1	GO:0016021, GO:0031965, GO:0005634, GO:0005737, GO:0005829, GO:0005524, GO:0007059
PAVE1_DN12293_c0_g1_i1.p1	GO:0005856, GO:0005515, GO:0005737, GO:0007099, GO:0005814
PAVE1_DN1588_c0_g1_i15.p1	GO:0030246, GO:0042592, GO:0005576, GO:0007411, GO:0009897, GO:0007155
