NYGR1_DN1492_c0_g1_i2.p1	GO:0004364, GO:0006749, GO:0005737
NYGR1_DN33269_c0_g1_i2.p1	GO:0016831, GO:0004300, GO:0005829, GO:0006635, GO:0005737
NYGR1_DN1429_c0_g1_i2.p1	GO:0000794, GO:0000122, GO:0000981, GO:0000978, GO:0043073, GO:0007538
NYGR1_DN9558_c0_g1_i1.p1	GO:0003785, GO:0048813, GO:0030833, GO:0051489, GO:0051015, GO:0005634
NYGR1_DN38345_c0_g1_i1.p1	GO:0007399, GO:0031410, GO:0005515, GO:0030425, GO:0030424, GO:0005096
NYGR1_DN19887_c0_g1_i1.p1	GO:0051260, GO:0031362, GO:0005886, GO:0005507, GO:0007340, GO:0007338
NYGR1_DN44013_c0_g1_i1.p1	GO:0031047, GO:0030154, GO:0051321, GO:0033391, GO:0030719, GO:0046872, GO:1990904, GO:0007283, GO:0005737, GO:0007281, GO:0034587, GO:0071546, GO:0043046
NYGR1_DN10_c0_g1_i1.p1	GO:0072334, GO:0008643, GO:0005515, GO:0005886, GO:0016021
NYGR1_DN1907_c0_g2_i6.p1	GO:0000302, GO:0042407, GO:0005739, GO:0061617, GO:0016021, GO:0070584, GO:0005743, GO:0005753, GO:0019901, GO:0043008, GO:0005737
NYGR1_DN3545_c0_g1_i2.p1	GO:0005694, GO:0044547, GO:1904931, GO:0106300, GO:0005634, GO:0005737
NYGR1_DN22945_c0_g1_i1.p1	GO:0007528, GO:1904646, GO:1902514, GO:0030315, GO:0005891, GO:0007268, GO:0098978, GO:0042383, GO:0019901, GO:0045933, GO:0042802, GO:0008331, GO:0006612, GO:0098794, GO:1901385, GO:0098793, GO:0019904, GO:0051219, GO:0016529, GO:0070588
NYGR1_DN8284_c0_g2_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0046872, GO:0006278, GO:0033557, GO:0005730, GO:0005634, GO:0030875
NYGR1_DN4360_c0_g1_i1.p1	GO:0035075, GO:0044228, GO:0098632, GO:0035073, GO:0035556
NYGR1_DN7453_c0_g1_i1.p1	GO:0000287, GO:0044717, GO:0044716, GO:0016529, GO:0046067, GO:0044715, GO:0046057, GO:0046712
NYGR1_DN5678_c0_g1_i2.p1	GO:0006970, GO:0043327, GO:0030010, GO:0015629, GO:0031143, GO:0044354, GO:0046872, GO:0051017, GO:0051015, GO:0005886, GO:0030866, GO:0005938, GO:0001891, GO:0031941
NYGR1_DN31618_c0_g1_i1.p1	GO:0006661, GO:0070772, GO:0033674, GO:0005768, GO:0000306, GO:0042802, GO:0005783, GO:0010008
NYGR1_DN3226_c0_g1_i6.p1	GO:0006270, GO:0000727, GO:0006261, GO:0005515, GO:0000811, GO:0005634
NYGR1_DN26893_c0_g1_i1.p1	GO:0006357, GO:0046872, GO:0000981, GO:0000978, GO:0005634
NYGR1_DN44577_c0_g1_i1.p1	GO:0120317, GO:0019563, GO:0030154, GO:0005524, GO:0097225, GO:0005739, GO:0004370, GO:0007283, GO:0005741, GO:0097226, GO:0016021, GO:0005515, GO:0006641, GO:0030317, GO:0016310, GO:0046167, GO:0005737
NYGR1_DN778_c0_g1_i1.p1	GO:0003677, GO:0070212, GO:0005730, GO:0003950, GO:0030592, GO:0005634, GO:1990404, GO:0006303
NYGR1_DN48301_c0_g1_i1.p1	GO:0043621, GO:1903568, GO:0007283, GO:0030317, GO:0005634, GO:0005737
NYGR1_DN31832_c0_g1_i1.p1	GO:0009566, GO:0007283, GO:0005829, GO:0120160, GO:0097731, GO:0007340
NYGR1_DN33347_c0_g1_i2.p2	GO:0043878, GO:0050269, GO:0009699, GO:0004029, GO:0005829, GO:0005737
NYGR1_DN30234_c0_g1_i1.p1	GO:0031125, GO:0005524, GO:0005654, GO:0019843, GO:0003724, GO:0005730, GO:0006401, GO:0000460, GO:0016887, GO:0005634
NYGR1_DN3974_c0_g1_i7.p1	GO:0006357, GO:0005524, GO:0005829, GO:0002098, GO:0016887, GO:0005634, GO:0005737
NYGR1_DN1111_c0_g3_i3.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005739, GO:0006278
NYGR1_DN7320_c0_g1_i4.p2	GO:0006915, GO:0003723, GO:0045892, GO:0005634, GO:0005737
NYGR1_DN19440_c0_g1_i3.p1	GO:0007419, GO:0005739, GO:0046872, GO:1902375, GO:0036093, GO:0005829, GO:0006388, GO:0045727, GO:0072684, GO:0042780, GO:0042781, GO:0005634, GO:0140040, GO:0030307
NYGR1_DN5194_c0_g1_i1.p1	GO:0044782, GO:0015629, GO:0005829, GO:0005886, GO:0005515, GO:0030041, GO:0005737
NYGR1_DN9782_c0_g1_i1.p1	GO:0043565, GO:0016925, GO:0005634
NYGR1_DN244_c0_g1_i3.p1	GO:0014069, GO:0031625, GO:0045944, GO:0043161, GO:0005654, GO:0051607, GO:0050687, GO:0045087, GO:0005829, GO:0039694, GO:0075522, GO:0003729, GO:0005634, GO:1990829, GO:0005737
NYGR1_DN15133_c0_g1_i1.p1	GO:0005524, GO:0009378, GO:0003677, GO:0009379, GO:0005829, GO:0032508, GO:0006281, GO:0048476, GO:0016887, GO:0009432, GO:0006310, GO:0005737
NYGR1_DN1849_c0_g1_i1.p1	GO:0016042, GO:0005576, GO:0007586, GO:0008047, GO:0050790
NYGR1_DN328_c1_g2_i2.p1	GO:0030154, GO:0000122, GO:0042826, GO:0046872, GO:0003682, GO:0000981, GO:0043433, GO:0000978, GO:0045668, GO:0005634
NYGR1_DN9299_c0_g3_i2.p2	GO:0016020, GO:0039503, GO:0008494, GO:0030683, GO:0003730, GO:0016021, GO:0033644, GO:0005515
NYGR1_DN11199_c0_g1_i1.p1	GO:0031666, GO:0072686, GO:0005654, GO:0002322, GO:0071222, GO:0004888, GO:0045087, GO:0005730, GO:0005886, GO:0002224, GO:0016021, GO:0005615, GO:0031012, GO:0005515, GO:0006954
NYGR1_DN26453_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0005515, GO:0039526
NYGR1_DN21536_c0_g1_i1.p1	GO:0016020, GO:0019031, GO:0039663, GO:0090729, GO:0005216, GO:0046718, GO:0016021, GO:0055036
NYGR1_DN13340_c0_g1_i1.p1	GO:0030198, GO:0046872, GO:0005576, GO:0006508, GO:0031012, GO:0004222
NYGR1_DN2592_c0_g1_i1.p1	GO:0043170, GO:0010945, GO:0000287, GO:0005739, GO:0044238, GO:0003986, GO:0030145
NYGR1_DN761_c0_g2_i1.p1	GO:0006694, GO:0004769, GO:0005789, GO:0030683, GO:0102294, GO:0005783, GO:0003854, GO:0005794
NYGR1_DN7944_c0_g1_i1.p1	GO:0051321, GO:0005739, GO:0090729, GO:0016021, GO:0030598, GO:0005743
NYGR1_DN5569_c0_g1_i2.p1	GO:0000122, GO:0005634, GO:0003714
NYGR1_DN19100_c0_g1_i1.p1	GO:0006886, GO:0005483, GO:0016020, GO:0019905, GO:0031201, GO:0016192, GO:0005829
NYGR1_DN31901_c0_g1_i1.p1	GO:0005739, GO:0005763, GO:0003735, GO:0005840, GO:0032543
NYGR1_DN3407_c0_g1_i9.p1	GO:0043195, GO:0007165, GO:0030709, GO:0007593, GO:0048067, GO:0031395, GO:0005576, GO:0046982, GO:0071855, GO:0007298, GO:0005184, GO:0036335
NYGR1_DN28466_c0_g1_i1.p1	GO:0006915, GO:0003723, GO:0005739, GO:0043280, GO:0005829, GO:0003735, GO:0005737
NYGR1_DN43966_c0_g1_i1.p1	GO:0016887, GO:0036121, GO:0005524, GO:0003697, GO:0033203, GO:0043596, GO:0005829, GO:0032508, GO:0043139, GO:1903459, GO:0005634, GO:0005737
NYGR1_DN1300_c0_g1_i1.p1	GO:0002376, GO:0051354, GO:0042542, GO:0005509, GO:0098869, GO:0031638, GO:0006953, GO:0005576, GO:2000296, GO:0010942, GO:0042742
NYGR1_DN15166_c0_g1_i1.p1	GO:0003723, GO:0030430, GO:0016233, GO:0032211, GO:0019013, GO:0019029
NYGR1_DN41_c0_g2_i2.p1	GO:0030299, GO:0046790, GO:0042632, GO:0005576, GO:0043231, GO:0002281, GO:0005515, GO:0005615, GO:0031012
NYGR1_DN5187_c0_g1_i3.p1	GO:0042392, GO:0005789, GO:0016021, GO:0030148, GO:0046839, GO:0005783
NYGR1_DN16451_c0_g1_i1.p1	GO:0034765, GO:0071805, GO:0005886, GO:0005249, GO:0005634, GO:0005737
NYGR1_DN13424_c0_g1_i1.p1	GO:0005412, GO:0005886, GO:0016021, GO:0006897, GO:0005515, GO:0030659, GO:0018996
NYGR1_DN31801_c0_g1_i1.p1	GO:0046329, GO:0016055, GO:0005515, GO:0090090, GO:0005634, GO:2000095, GO:0005737
NYGR1_DN1217_c0_g1_i1.p1	GO:0008340, GO:0022625, GO:0003723, GO:0002181, GO:0000027, GO:0005829, GO:0005515, GO:0003735, GO:0005840, GO:0005791, GO:0005737
NYGR1_DN580_c0_g1_i7.p1	GO:0007088, GO:0019005, GO:0016567, GO:0019901, GO:0010824, GO:0080008, GO:0031146, GO:0005737
NYGR1_DN43878_c0_g1_i1.p1	GO:1990909, GO:0005829, GO:0007450, GO:0005737, GO:0007455, GO:0035019, GO:0042594, GO:0005102, GO:0019901, GO:0010941, GO:0030707, GO:0035293, GO:0060090, GO:0008013, GO:0008587, GO:0032436, GO:0048477, GO:0090090, GO:0005634, GO:0007507, GO:0007367, GO:0030877, GO:0016055, GO:0005886, GO:0005977
NYGR1_DN3261_c1_g1_i1.p1	GO:0016021, GO:0016020, GO:0005515, GO:0006865
NYGR1_DN2275_c0_g1_i2.p1	GO:0015149, GO:0016020, GO:0008645
NYGR1_DN457_c0_g1_i2.p1	GO:0016529, GO:0016021, GO:0005515, GO:0033017, GO:0090158
NYGR1_DN2630_c0_g1_i1.p1	GO:0019346, GO:0005739, GO:0004792, GO:1990799, GO:0005783, GO:0005741
NYGR1_DN20482_c0_g1_i2.p1	GO:0001933, GO:0016020, GO:0051787, GO:0034663, GO:0070059, GO:0051087, GO:0030544, GO:0036498, GO:0015035, GO:0030433, GO:0016671, GO:0051117, GO:0001671, GO:0034975, GO:0032781, GO:0005783, GO:0005788
NYGR1_DN33197_c0_g1_i1.p1	GO:0030123, GO:0006886, GO:0006896, GO:0005856, GO:0072686, GO:0051286, GO:0031410, GO:0030131, GO:0044732, GO:0006897, GO:0032153, GO:0035615, GO:0030659, GO:0005794, GO:0005737
NYGR1_DN37646_c0_g1_i1.p1	GO:0006357, GO:0005654, GO:0007049, GO:0000981, GO:0005829, GO:0000978, GO:0005634
NYGR1_DN20025_c0_g1_i1.p1	GO:0006869, GO:0005576, GO:1901076, GO:0005515, GO:0005615, GO:0001786
NYGR1_DN3177_c0_g1_i1.p1	GO:0043565, GO:0000122, GO:0005634, GO:0040029
NYGR1_DN32260_c0_g1_i1.p1	GO:0006488, GO:0051592, GO:0016020, GO:0048471, GO:0016021, GO:0097502, GO:0016757, GO:0033577, GO:0005783, GO:0005634, GO:0005737
NYGR1_DN32998_c0_g1_i1.p1	GO:0004222, GO:0005576, GO:0006508, GO:0008270
NYGR1_DN33744_c0_g1_i1.p1	GO:0005249, GO:0034765, GO:0005628, GO:0071805
NYGR1_DN44097_c0_g1_i1.p1	GO:0005829, GO:0006887, GO:0030670, GO:0051015, GO:0005905, GO:0045335, GO:0001891, GO:0030864, GO:0034314, GO:0031143, GO:0030833, GO:0031012, GO:0031252, GO:0005938, GO:0005885, GO:0030175, GO:0015629, GO:0030041, GO:0006909
NYGR1_DN8291_c0_g1_i1.p1	GO:1990251, GO:0033621, GO:1902801, GO:1990477, GO:0005515, GO:0000785
NYGR1_DN41032_c0_g1_i1.p1	GO:0007623, GO:0051453, GO:0030165, GO:0015385, GO:0016324, GO:0071805, GO:1902600, GO:0005886, GO:0006898, GO:0002028, GO:0098719, GO:0005903, GO:0031526, GO:0016021, GO:0070062, GO:0015386, GO:0051384
NYGR1_DN50_c0_g1_i1.p2	GO:0007165, GO:0005125, GO:0040008, GO:0051607, GO:0005576, GO:0006955, GO:0005615, GO:0005133, GO:0010508
NYGR1_DN27572_c0_g1_i2.p1	GO:0005125, GO:0035723, GO:0005126, GO:0030430, GO:0050766, GO:0006955, GO:0042119, GO:0048856, GO:0019033, GO:0050731, GO:0044177
NYGR1_DN45424_c0_g1_i1.p1	GO:0006487, GO:0005789, GO:0016021, GO:0006490, GO:0097502, GO:0005811, GO:0004377
NYGR1_DN44851_c0_g1_i2.p1	GO:0035293, GO:0008363, GO:0045944, GO:0007431, GO:0035497, GO:0000981, GO:0009953, GO:0005700, GO:0005634
NYGR1_DN26108_c0_g1_i4.p2	GO:0006368, GO:0000502, GO:0033588, GO:0061133, GO:0043248, GO:0002098, GO:0010950, GO:0005634, GO:0005737
NYGR1_DN13172_c0_g1_i1.p1	GO:0003743, GO:0071074, GO:0001731, GO:0005829, GO:0001732, GO:0006413, GO:0005092, GO:0006412, GO:0042256, GO:0005096, GO:0050790, GO:0033290, GO:0005525
NYGR1_DN15372_c0_g1_i1.p1	GO:0016020, GO:0007608, GO:1990834, GO:0005549, GO:0016021
NYGR1_DN3210_c0_g1_i2.p1	GO:0080135, GO:0008340, GO:0000122, GO:1901216, GO:0043161, GO:1905803, GO:0040018, GO:0008134, GO:0080008, GO:0005634
NYGR1_DN19912_c0_g1_i1.p1	GO:0005262, GO:0005244, GO:0005576, GO:1902476, GO:0005886, GO:0034765, GO:0005615, GO:0004222, GO:0070588, GO:0034707, GO:0005254
NYGR1_DN3633_c0_g1_i1.p1	GO:0008340, GO:0050829, GO:0048640, GO:0045089, GO:0005777, GO:1901143, GO:0090062, GO:0005739, GO:0046872, GO:0043171, GO:0046662, GO:0005886, GO:0051603, GO:0005829, GO:0004222, GO:0046627, GO:0005737
NYGR1_DN2391_c0_g1_i1.p1	GO:0043005, GO:0005887, GO:0005886, GO:0015199, GO:0015812, GO:0005332, GO:0015838, GO:0006836, GO:0035725
NYGR1_DN20860_c0_g1_i1.p1	GO:0005694, GO:0030915, GO:0005634, GO:0005829, GO:0005515, GO:0006281, GO:0048478, GO:0006310, GO:0005737
NYGR1_DN18703_c0_g1_i1.p1	GO:0090305, GO:0004519, GO:0003964, GO:0005887, GO:0006278, GO:0043231, GO:0005886, GO:0034451
NYGR1_DN14514_c0_g1_i1.p1	GO:0060041, GO:0007507, GO:0005929, GO:0060021, GO:0001822, GO:0003406, GO:0005737, GO:0005515, GO:0043010, GO:0042733, GO:0021532, GO:0021915, GO:1905515, GO:0002088, GO:0061512, GO:0007368, GO:0060831
NYGR1_DN1157_c0_g1_i4.p1	GO:0042048, GO:0005576, GO:0007608, GO:0005549, GO:0019236
NYGR1_DN1779_c0_g1_i2.p1	GO:0042826, GO:0042393, GO:0005654, GO:0006335, GO:0045087, GO:0050830, GO:0034080, GO:0005634
NYGR1_DN33091_c0_g1_i2.p1	GO:0031362, GO:0032218, GO:1902444, GO:1904657, GO:0038023, GO:1904661, GO:0032217
NYGR1_DN41832_c0_g1_i1.p1	GO:0007264, GO:0046872, GO:0003924, GO:0005886, GO:0019003, GO:0032008, GO:0005525
NYGR1_DN5668_c0_g1_i4.p1	GO:0090087, GO:0005886, GO:0005515, GO:0016021, GO:0055085
NYGR1_DN44976_c0_g1_i2.p1	GO:0003723, GO:0000470, GO:0005634, GO:0005730, GO:0070475, GO:0042254, GO:0009383
NYGR1_DN1280_c0_g1_i2.p1	GO:0023030, GO:0030430, GO:0031267, GO:0044220, GO:0060967, GO:0019048
NYGR1_DN20525_c0_g1_i2.p1	GO:0016020, GO:0016021, GO:0033644, GO:0005515, GO:0061484
NYGR1_DN7123_c0_g1_i1.p1	GO:0015031, GO:0005515, GO:0005768, GO:0032456
NYGR1_DN10261_c0_g1_i4.p1	GO:0008409, GO:0006398, GO:0003723, GO:0005847, GO:0005515, GO:0016180, GO:0090502, GO:0006378, GO:0004521, GO:0005634
NYGR1_DN38116_c0_g1_i1.p1	GO:0006357, GO:0046872, GO:0000981, GO:0000978, GO:0005634
NYGR1_DN12747_c0_g1_i1.p1	GO:0046982, GO:1901424, GO:0045471, GO:0040017, GO:0005096, GO:0009410, GO:0072347, GO:0030424
NYGR1_DN19379_c0_g1_i1.p1	GO:0005524, GO:0005635, GO:0005388, GO:0005509, GO:0006874, GO:0005789, GO:0005886, GO:0016021, GO:0015410, GO:0071421, GO:0016887, GO:0005783, GO:0061454, GO:0000139
NYGR1_DN19591_c0_g1_i1.p1	GO:0008340, GO:0040014, GO:0071965, GO:0005856, GO:0030154, GO:0031234, GO:0005102, GO:0004715, GO:0009408, GO:0043197, GO:0018108, GO:0050920, GO:0005524, GO:0035262, GO:0008284, GO:1903354, GO:0060378, GO:0007169, GO:0045087, GO:0005925, GO:0007172, GO:0051128
NYGR1_DN25588_c0_g1_i1.p1	GO:0019005, GO:0005739, GO:0007005, GO:0005515, GO:0031146, GO:0005096, GO:0031315
NYGR1_DN1394_c1_g1_i1.p1	GO:0016020, GO:0016021, GO:0005515, GO:0046740, GO:0020002
NYGR1_DN2573_c0_g1_i5.p1	GO:0045496, GO:0046426, GO:0046872, GO:0003677, GO:0045497, GO:0006355, GO:0030539, GO:0003700, GO:0005634, GO:0030540
NYGR1_DN49400_c0_g1_i1.p1	GO:0015031, GO:0046872, GO:0005925, GO:0005768, GO:0005515
NYGR1_DN3718_c0_g1_i1.p1	GO:0106074, GO:0004823, GO:0005524, GO:0005739, GO:0000372, GO:0005759, GO:0002161, GO:0003729, GO:0006429, GO:0032543, GO:0005737
NYGR1_DN43971_c0_g1_i1.p2	GO:0030490, GO:0005515, GO:0016020, GO:0005634
NYGR1_DN27619_c0_g1_i1.p1	GO:0005694, GO:0000781, GO:0005515, GO:0008033, GO:0005634
NYGR1_DN3305_c0_g3_i1.p2	GO:0007399, GO:0005576, GO:0098868, GO:0042834, GO:0005615, GO:0097009
NYGR1_DN43365_c0_g1_i1.p1	GO:0009888, GO:0009887, GO:0007162, GO:0048471, GO:0005604, GO:0043259, GO:0005607, GO:0005576, GO:0005606, GO:0005201, GO:0030335, GO:0016477, GO:0005615, GO:0034446, GO:0031175, GO:0070831, GO:0005178, GO:0043257
NYGR1_DN12270_c0_g1_i1.p1	GO:0042074, GO:0005125, GO:0072574, GO:0005109, GO:0005576, GO:0060070, GO:0005615, GO:0001889, GO:0030182, GO:0045165, GO:0048794
NYGR1_DN25410_c0_g1_i1.p1	GO:0006357, GO:0016592, GO:0000981, GO:0000977, GO:0005634
NYGR1_DN25962_c0_g1_i1.p1	GO:0015035, GO:0003756, GO:0006457, GO:0005783, GO:0005788
NYGR1_DN14209_c0_g1_i1.p1	GO:0042790, GO:0005829, GO:0006355, GO:0005730, GO:0005515, GO:0001163, GO:0000166, GO:0006364, GO:0005634, GO:0000182
NYGR1_DN1154_c0_g1_i4.p1	GO:0016020, GO:0006672, GO:0030133, GO:0016021, GO:0070774
NYGR1_DN43002_c0_g1_i1.p1	GO:0000122, GO:0005125, GO:0005576, GO:0007049, GO:0005829, GO:0006873, GO:0005886, GO:0000750, GO:0016021, GO:0071555
NYGR1_DN26741_c0_g1_i3.p1	GO:0046872, GO:0006357, GO:0003677, GO:0005634
NYGR1_DN16696_c0_g1_i1.p1	GO:0090305, GO:0003677, GO:0005829, GO:0009036, GO:0009307, GO:0005634
NYGR1_DN43560_c0_g1_i1.p1	GO:0035613, GO:0003964, GO:0005739, GO:0003677, GO:0006278, GO:0015074, GO:0004523, GO:0006281, GO:0008270, GO:0090502
NYGR1_DN31937_c0_g1_i1.p1	GO:0005515, GO:0005634, GO:0034472, GO:0032039
NYGR1_DN12229_c0_g1_i1.p1	GO:0005524, GO:0005739, GO:0071805, GO:0016021, GO:0140359, GO:0005743, GO:0062157
NYGR1_DN30796_c0_g1_i1.p1	GO:0005516, GO:0032310, GO:0046872, GO:0032755, GO:0004517, GO:0005829, GO:0032757, GO:0018119, GO:1900015, GO:0006809, GO:0005737
NYGR1_DN6879_c1_g1_i2.p1	GO:0042540, GO:0006508, GO:0031910, GO:0005774, GO:0020020, GO:0016021, GO:0005775, GO:0004190, GO:0044002
NYGR1_DN45107_c0_g1_i1.p1	GO:0005524, GO:0006189, GO:0046872, GO:0046084, GO:0005829, GO:0004641, GO:0004637, GO:0005737
NYGR1_DN44153_c0_g1_i1.p1	GO:0030430, GO:0039649, GO:0039648, GO:0005515
NYGR1_DN25238_c0_g1_i1.p1	GO:0042575, GO:0003887, GO:0071897, GO:0003676, GO:0015074, GO:0008270, GO:0019899, GO:0005737
NYGR1_DN4148_c0_g1_i2.p1	GO:0005518, GO:0010447, GO:0005770, GO:0005615, GO:0004197, GO:0009986, GO:0004252, GO:0045453, GO:0034769, GO:0001968, GO:2001259, GO:0043236, GO:0043394, GO:0097067, GO:0051603, GO:0019886, GO:0045335, GO:0002250, GO:0001656, GO:0005576, GO:0050729, GO:0030574, GO:0005764, GO:0016020, GO:0016485, GO:0051930
NYGR1_DN1760_c0_g1_i7.p1	GO:0000502, GO:0005654, GO:0043161, GO:0070122, GO:0005829, GO:0005515, GO:0005838, GO:0008541, GO:0140492, GO:0030425
NYGR1_DN46625_c0_g1_i1.p1	GO:0016020, GO:0008643, GO:0005515, GO:0016021, GO:0055085
NYGR1_DN34225_c0_g1_i1.p1	GO:0007165, GO:0008049, GO:0008527, GO:0043025, GO:0005886, GO:0016021, GO:0050912, GO:0030425, GO:0030424, GO:0050909
NYGR1_DN6801_c0_g1_i1.p2	GO:0075713, GO:0016020, GO:0044826, GO:0015074, GO:0046718, GO:0016021, GO:0005515, GO:0006310
NYGR1_DN25679_c0_g1_i1.p1	GO:0007399, GO:0031625, GO:0005829, GO:0022008, GO:0005634, GO:0005737
NYGR1_DN40733_c0_g1_i1.p1	GO:0005789, GO:0006654, GO:0016021, GO:0005783, GO:0003841
NYGR1_DN25416_c0_g1_i1.p1	GO:0045654, GO:0005515, GO:0005634, GO:0045893
NYGR1_DN46286_c0_g1_i1.p1	GO:0046854, GO:0004430, GO:0005886, GO:0048015, GO:0016310, GO:0005737
NYGR1_DN32869_c0_g1_i1.p1	GO:0005694, GO:0031625, GO:0042826, GO:0050750, GO:0000775, GO:0010468, GO:0019901, GO:0043254, GO:0005634
NYGR1_DN8222_c0_g4_i5.p1	GO:0051301, GO:0005515, GO:0007049, GO:0005634
NYGR1_DN29682_c0_g1_i1.p1	GO:0007165, GO:0005125, GO:0032736, GO:0042531, GO:0032733, GO:0001961, GO:0005139, GO:0005576, GO:0071654, GO:0032755, GO:0008284, GO:0050729, GO:0071657, GO:0043066, GO:1904894, GO:0033005, GO:0005615, GO:0032754
NYGR1_DN13484_c0_g1_i1.p2	GO:0006357, GO:0035209, GO:0016592, GO:0003712, GO:0005515, GO:0005634, GO:0035072, GO:0035070
NYGR1_DN1243_c0_g1_i4.p1	GO:0045892, GO:0005654, GO:0046872, GO:0045893, GO:0005634
NYGR1_DN40028_c0_g1_i2.p2	GO:0045454, GO:0005515, GO:0034599, GO:0005739
NYGR1_DN33434_c0_g2_i1.p1	GO:0015886, GO:0005509, GO:0007264, GO:0000001, GO:0055091, GO:0005739, GO:0031307, GO:0003924, GO:0005525, GO:0032865, GO:1990456, GO:0010821, GO:0005741
NYGR1_DN25735_c0_g1_i1.p1	GO:0018108, GO:0016020, GO:0033674, GO:0016021, GO:0016787, GO:0007169
NYGR1_DN4509_c0_g1_i1.p1	GO:0002183, GO:0003743, GO:0001732, GO:0006412, GO:0071541, GO:0033290, GO:0016282, GO:0005737
NYGR1_DN22915_c0_g1_i1.p1	GO:0016020, GO:0005829, GO:0090630, GO:0005096, GO:0005737
NYGR1_DN5494_c0_g2_i5.p1	GO:0005515, GO:0000974, GO:0071007, GO:0000398, GO:0005634
NYGR1_DN46211_c0_g1_i4.p1	GO:0016342, GO:0005198, GO:0005912, GO:0098609, GO:0015629, GO:0045296, GO:0003383, GO:0046664, GO:0008013, GO:0016477, GO:0005886, GO:0060323, GO:0051015, GO:0034333, GO:0042802, GO:0005737
NYGR1_DN39394_c0_g1_i1.p1	GO:0019843, GO:0000027, GO:0005634, GO:0005829, GO:0005730, GO:0006364, GO:0042254
NYGR1_DN7960_c0_g3_i1.p1	GO:0030414, GO:0005576, GO:0052547, GO:0005615, GO:0045202, GO:0043086
NYGR1_DN44492_c0_g1_i1.p1	GO:0071218, GO:0005524, GO:0005635, GO:0005818, GO:0005819, GO:0048471, GO:0051085, GO:0000922, GO:0005886, GO:0016887, GO:0012505, GO:0005783, GO:0005788, GO:0005737
NYGR1_DN31879_c0_g1_i2.p1	GO:0042255, GO:0003723, GO:0005737, GO:0030687, GO:0042254, GO:0005829, GO:0005730, GO:1902626, GO:0005634, GO:0042273
NYGR1_DN6574_c0_g1_i1.p1	GO:0005576, GO:0004252, GO:0007338
NYGR1_DN11768_c0_g1_i1.p1	GO:0005516, GO:0032310, GO:0046872, GO:0032755, GO:0004517, GO:0032757, GO:0018119, GO:1900015, GO:0006809, GO:0005628
NYGR1_DN17267_c0_g1_i1.p1	GO:0031663, GO:0032497, GO:0031226, GO:0035662, GO:0001875, GO:0071222, GO:0034142, GO:0005576, GO:0045087, GO:0046696, GO:0005615, GO:0006954, GO:0001530, GO:0032760
NYGR1_DN39168_c0_g1_i1.p1	GO:0015031, GO:0006888, GO:0060628, GO:0005789, GO:0048280, GO:0005802, GO:0016021, GO:0005515, GO:0005783, GO:0005794
NYGR1_DN1742_c0_g1_i2.p1	GO:0060279, GO:0016021, GO:0030431, GO:0055036, GO:0007173, GO:0043657, GO:0042659, GO:0044177, GO:0002119, GO:0044156, GO:0040026, GO:0031129, GO:0020002, GO:0030728, GO:0019031, GO:0008083, GO:0018991, GO:0044178, GO:0016020, GO:0030539, GO:0040025
NYGR1_DN9453_c0_g1_i4.p1	GO:0005739, GO:0016021, GO:0005515, GO:0005743, GO:0008053, GO:0006465, GO:0004252
NYGR1_DN2736_c0_g1_i2.p1	GO:0000502, GO:1904813, GO:0005654, GO:0043161, GO:0070062, GO:0034774, GO:0005576, GO:0005737, GO:0005829, GO:0005515, GO:0005839, GO:0000932, GO:0019773, GO:0005634, GO:0009615
NYGR1_DN3029_c0_g1_i1.p1	GO:0008340, GO:0005654, GO:0033553, GO:0051457, GO:0005737, GO:0045892, GO:0043970, GO:0048471, GO:0000781, GO:0046872, GO:0005637, GO:0017136, GO:0003714, GO:0008630, GO:0005634, GO:0040024, GO:0034605, GO:0016740, GO:0070932, GO:0002039, GO:0070403, GO:0010628
NYGR1_DN3809_c0_g1_i1.p1	GO:0005886, GO:0046942, GO:0016021, GO:0046943, GO:1905039
NYGR1_DN38801_c0_g1_i1.p1	GO:0007165, GO:0005547, GO:0005829, GO:0005886, GO:0005515, GO:0006470, GO:0043325, GO:0005737
NYGR1_DN32446_c0_g1_i1.p1	GO:0018027, GO:0005737, GO:0016279, GO:0018013, GO:0071885
NYGR1_DN27454_c0_g1_i1.p1	GO:0008126, GO:0097524, GO:0051792, GO:0016021, GO:0047372, GO:0051793, GO:0036126
NYGR1_DN11035_c0_g1_i2.p1	GO:0044614, GO:0071456, GO:0005635, GO:0017056, GO:0000973, GO:0048573, GO:0051028, GO:0005643, GO:0005515, GO:0006405, GO:0006606, GO:0005634
NYGR1_DN15608_c0_g1_i1.p1	GO:0016020, GO:0042546, GO:0016021, GO:0071555, GO:0031005
NYGR1_DN39421_c0_g1_i1.p1	GO:0007399, GO:0045944, GO:0001228, GO:0046872, GO:0005515, GO:0000977, GO:0048666, GO:0030182, GO:0005634, GO:0040040
NYGR1_DN29808_c0_g1_i1.p1	GO:0000145, GO:0005912, GO:0098609, GO:0005546, GO:0045920, GO:0098641, GO:0035493, GO:0035542, GO:0005886, GO:0006893, GO:0006887, GO:0005737
NYGR1_DN37659_c0_g1_i1.p1	GO:0051453, GO:0016020, GO:1903826, GO:0015819, GO:0016021, GO:0005515
