DRYU1_DN6430_c0_g1_i3.p1	GO:0006355, GO:0005634, GO:0003700
DRYU1_DN5774_c0_g1_i4.p1	GO:0030430, GO:0003723, GO:0006417
DRYU1_DN13369_c0_g1_i2.p1	GO:0005515, GO:0006357, GO:0005654
DRYU1_DN10477_c0_g2_i2.p1	GO:0016936, GO:0030683, GO:0016021, GO:0016020, GO:0030246, GO:0039503
DRYU1_DN2074_c0_g1_i1.p1	GO:0006777, GO:0032324, GO:0005829, GO:0005737, GO:0019008, GO:0005700, GO:0140672, GO:0030366, GO:0006338, GO:0016573
DRYU1_DN30928_c0_g1_i1.p1	GO:0030155, GO:0071363, GO:0046332, GO:0022604, GO:0051457, GO:0006468, GO:0045944, GO:0005886, GO:0050832, GO:0050830, GO:0036122, GO:0009953, GO:0043235, GO:0005025, GO:0005524, GO:0016021, GO:0005634, GO:0045732, GO:0030509, GO:0040018, GO:0000003, GO:0040024, GO:0030511, GO:0045087, GO:0045138
DRYU1_DN31764_c0_g1_i1.p1	GO:0016279, GO:0018022, GO:0005737
DRYU1_DN388_c0_g1_i9.p1	GO:0005737, GO:0016021, GO:0042277, GO:0070006, GO:0016020, GO:0006508, GO:0008270, GO:0043171
DRYU1_DN5744_c1_g3_i1.p1	GO:0016567, GO:0005634, GO:0005515
DRYU1_DN28548_c0_g1_i1.p1	GO:0005576, GO:1903818, GO:0032222, GO:0030431, GO:0030246
DRYU1_DN2968_c0_g1_i2.p1	GO:0045143, GO:0031410, GO:0005737, GO:0051455, GO:0045859, GO:0051321, GO:0005198, GO:0010789, GO:0005773
DRYU1_DN8900_c0_g6_i3.p1	GO:0045747, GO:0006897, GO:1903671, GO:0005737, GO:0007219, GO:0005543, GO:0048568, GO:0001701, GO:0030128, GO:0005886, GO:0030948, GO:0030276, GO:0030100, GO:0005768
DRYU1_DN1152_c0_g1_i1.p1	GO:0016021, GO:0019031, GO:0005515, GO:0016020, GO:0050832, GO:0031640, GO:0055036
DRYU1_DN25110_c0_g1_i1.p1	GO:0097623, GO:0043025, GO:0019903, GO:0045332, GO:0005886, GO:0006884, GO:0016324, GO:0016286, GO:0022894, GO:0045121, GO:0002376, GO:0050862, GO:0046541, GO:0016021, GO:0043005, GO:0005516, GO:0006816, GO:0050714, GO:0016323, GO:0030322, GO:0031982, GO:0006820
DRYU1_DN3836_c0_g1_i21.p1	GO:0005085, GO:0018991, GO:0005886, GO:2000294, GO:0042981, GO:0030421, GO:0005737, GO:0014057, GO:0006915, GO:1905488, GO:0050790, GO:0032483, GO:0005829, GO:0007618, GO:0007268, GO:0045202, GO:0010877, GO:1904731, GO:0007419
DRYU1_DN10043_c0_g1_i1.p1	GO:0046789, GO:0044174, GO:0016021, GO:0046718, GO:0019031, GO:0106330, GO:0044175, GO:0106331, GO:0016020, GO:0020002, GO:0030246, GO:0055036, GO:0019064
DRYU1_DN21666_c0_g1_i1.p1	GO:0043204, GO:0043153, GO:0030182, GO:0000981, GO:0005634, GO:0046983, GO:0045944, GO:0048663, GO:0007623, GO:0030424, GO:0007399, GO:0021554, GO:0000978, GO:0010996, GO:1902336, GO:0003407
DRYU1_DN23064_c0_g1_i1.p1	GO:1903746, GO:0005921, GO:0051015, GO:0016021, GO:1903598, GO:0005886, GO:0005243, GO:0005509, GO:0055085
DRYU1_DN9351_c0_g1_i1.p1	GO:0005739, GO:0006310, GO:0032196, GO:0003677, GO:0015074
DRYU1_DN9759_c0_g1_i1.p1	GO:0039619, GO:0046789, GO:0044650, GO:0005198, GO:0019064
DRYU1_DN7709_c0_g1_i1.p1	GO:0004712, GO:0005829, GO:0000935, GO:0005737, GO:0005524, GO:0005634, GO:0004674, GO:0006468, GO:0005515, GO:2000100, GO:0106310, GO:0032153, GO:0072741
DRYU1_DN7770_c0_g1_i1.p1	GO:0030154, GO:0005856, GO:0007420, GO:0003779, GO:0005737, GO:0030036, GO:0007283
DRYU1_DN7919_c0_g1_i2.p1	GO:0003712, GO:0005634, GO:0006357, GO:0016592
DRYU1_DN8759_c0_g2_i8.p1	GO:0005856, GO:0005737, GO:0005874, GO:0004860, GO:0000407, GO:0007049, GO:0043086
DRYU1_DN27937_c0_g1_i1.p1	GO:0007005, GO:0016021, GO:0099106, GO:0005886, GO:0071456
DRYU1_DN24964_c0_g1_i1.p1	GO:0005737, GO:0005507, GO:0016491, GO:0017000
DRYU1_DN4276_c3_g1_i1.p1	GO:0003964, GO:0004519, GO:0005654, GO:0090305, GO:0046872, GO:0006278
DRYU1_DN33966_c0_g1_i1.p1	GO:0005739, GO:0005759, GO:0097745, GO:0051010, GO:0099617
DRYU1_DN14802_c0_g1_i1.p1	GO:0005856, GO:0005929, GO:0005737, GO:0035869, GO:0036064, GO:0005813, GO:0005515, GO:0060271
DRYU1_DN18425_c0_g1_i1.p1	GO:0005829, GO:0015630, GO:0005874, GO:0005938, GO:0000226, GO:0030981, GO:0035974, GO:0045504, GO:0030989, GO:1903754, GO:0051321, GO:0110092, GO:0005868
DRYU1_DN6309_c0_g1_i3.p1	GO:0030173, GO:0046032, GO:0030154, GO:0060050, GO:0004382, GO:0046712, GO:0005737, GO:0000139, GO:0030334, GO:0035262, GO:0043262, GO:0005794, GO:0006256, GO:0007506, GO:0045134
DRYU1_DN28188_c0_g1_i1.p1	GO:0043530, GO:0005737, GO:0005634, GO:0000166, GO:0006790, GO:0009150
DRYU1_DN6679_c0_g3_i1.p1	GO:0006897, GO:0035194, GO:0005737, GO:0016021, GO:0050658, GO:0005515, GO:0005886, GO:0016324
DRYU1_DN656_c0_g3_i1.p1	GO:0016021, GO:0016925, GO:0016020, GO:0005515
DRYU1_DN27456_c0_g1_i1.p1	GO:0033925, GO:0005829, GO:0006517, GO:0005737, GO:0006491
DRYU1_DN30936_c0_g1_i1.p1	GO:0003917, GO:0005694, GO:0006265, GO:0005634, GO:0051321, GO:0000712, GO:0006281, GO:0003677, GO:0008270, GO:0000278, GO:0007059
DRYU1_DN1868_c0_g1_i1.p1	GO:0006486, GO:0030246, GO:0016021, GO:0016757, GO:0005794, GO:0046872, GO:0000139
DRYU1_DN5705_c0_g1_i2.p1	GO:0043161, GO:0005737, GO:0000502, GO:0005634, GO:0008233, GO:0019774, GO:0005839
DRYU1_DN9102_c0_g1_i1.p1	GO:0005737, GO:0005634, GO:0051964, GO:0006508, GO:0004190
DRYU1_DN1954_c1_g1_i3.p1	GO:1902476, GO:0005254, GO:0016021, GO:0005886, GO:0034707
DRYU1_DN21908_c0_g1_i1.p1	GO:0005829, GO:0002181, GO:0098556, GO:0005737, GO:0042788, GO:0003735, GO:0003729, GO:0005791, GO:0022627
DRYU1_DN21766_c0_g1_i1.p1	GO:0008195, GO:0016021, GO:0006644, GO:0005794, GO:0000139, GO:0000810
DRYU1_DN24856_c0_g1_i1.p1	GO:0042393, GO:0071565, GO:2000781, GO:2000819, GO:0005634, GO:0005737, GO:0045892, GO:0030071, GO:0006915, GO:0045944, GO:0003712, GO:0007399, GO:0008270, GO:0051321, GO:0006338, GO:2000045, GO:0009408
DRYU1_DN8666_c0_g2_i1.p1	GO:0005829, GO:0010628, GO:0051286, GO:0005737, GO:0005634, GO:0030428, GO:0005515, GO:0090326, GO:0032991, GO:0032153, GO:2000010, GO:1903003
DRYU1_DN22312_c0_g1_i1.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN32967_c0_g1_i1.p1	GO:0005576, GO:0039706, GO:2000272, GO:0090090, GO:0048019, GO:0005615
DRYU1_DN7248_c0_g1_i1.p1	GO:0015812, GO:0015199, GO:0043005, GO:0005332, GO:0005887, GO:0006836, GO:0005886, GO:0035725, GO:0015838
DRYU1_DN6821_c0_g2_i2.p1	GO:0005856, GO:0005829, GO:0030437, GO:0005694, GO:0005737, GO:0098654, GO:0034506, GO:0005654, GO:0000775, GO:0005515, GO:0005816, GO:0051321
DRYU1_DN597_c0_g1_i5.p1	GO:1904669, GO:0070676, GO:0035800, GO:0016579, GO:0005737, GO:0043328, GO:0005768, GO:0007584, GO:0010008, GO:0036010, GO:0072671, GO:2000158
DRYU1_DN444_c0_g2_i2.p1	GO:0000460, GO:0005730, GO:1902801, GO:0016078, GO:0031499, GO:0016604, GO:0032210, GO:1902802, GO:0003723, GO:0043630, GO:0005524, GO:0005634, GO:0003724, GO:0043144, GO:0033621, GO:0016787, GO:1990477, GO:0005515, GO:1990342
DRYU1_DN15963_c0_g1_i1.p1	GO:0017111, GO:0004528, GO:0016021, GO:0005783, GO:0090305, GO:0016020, GO:0035529, GO:0036218, GO:0009141
DRYU1_DN27551_c0_g1_i1.p1	GO:0071313, GO:0008331, GO:0016021, GO:1990454, GO:0005886, GO:0005516, GO:0098703, GO:0030315, GO:0034765
DRYU1_DN23266_c0_g1_i1.p1	GO:0005737, GO:0004842, GO:0005634, GO:0016567, GO:0045471, GO:0046872, GO:0000921
DRYU1_DN2935_c0_g2_i1.p1	GO:1902405, GO:0005829, GO:0031021, GO:0015630, GO:0005737, GO:0005881, GO:0000923, GO:0099070, GO:0005515, GO:0007097, GO:0044732, GO:0031024, GO:0032153, GO:0106006
DRYU1_DN24721_c0_g1_i1.p1	GO:0005801, GO:0005525, GO:0007030, GO:0005737, GO:0017119, GO:0003924, GO:0000139, GO:0006886, GO:0032153, GO:0005794, GO:0006891
DRYU1_DN20368_c0_g1_i1.p1	GO:0005739, GO:0006310, GO:0032196, GO:0003677, GO:0015074
DRYU1_DN32206_c0_g1_i1.p1	GO:0043025, GO:0005886, GO:0030553, GO:0017071, GO:0008022, GO:0043204, GO:0098659, GO:0001750, GO:0005223, GO:0005737, GO:0043194, GO:0046549, GO:0016021, GO:0032026, GO:0030425, GO:0007601, GO:0097386, GO:0051591, GO:0044877, GO:0005222
DRYU1_DN16665_c0_g1_i1.p1	GO:0005737, GO:0005515, GO:0006281
DRYU1_DN1275_c0_g1_i1.p1	GO:0005737, GO:0030742, GO:0005764, GO:0032418, GO:0036064, GO:0060271, GO:0048471, GO:0005765
DRYU1_DN34879_c0_g1_i1.p1	GO:0016021, GO:0043005, GO:0005886, GO:0042923, GO:0007218, GO:0004983
DRYU1_DN31013_c0_g1_i1.p1	GO:0031386, GO:0005737, GO:0019941, GO:0005634, GO:0031625, GO:0016567
DRYU1_DN10364_c0_g1_i2.p1	GO:0000785, GO:0005634, GO:0070482, GO:0045944, GO:0003682, GO:0003690, GO:0003712, GO:0050918
DRYU1_DN26757_c0_g1_i1.p1	GO:0033650, GO:0039722, GO:0030683, GO:0039502, GO:0039504, GO:0039548, GO:0039557, GO:0039526, GO:0039545, GO:0016491, GO:0039564, GO:0039540, GO:0042025, GO:0030430, GO:0039723
DRYU1_DN31706_c0_g1_i1.p1	GO:0035556, GO:0007193, GO:0005524, GO:0005887, GO:0006171, GO:0004016, GO:0016020, GO:0046872, GO:0007189
DRYU1_DN21985_c0_g1_i1.p1	GO:0008347, GO:0005887, GO:0005515, GO:0061028, GO:0090528, GO:0016020
DRYU1_DN6818_c0_g2_i3.p1	GO:0016021, GO:0005515, GO:0007417, GO:0016020
DRYU1_DN1104_c0_g1_i2.p2	GO:0005737, GO:0007088, GO:0005634, GO:0060188, GO:0006606, GO:0006406, GO:0008139, GO:0061608
DRYU1_DN9952_c0_g1_i1.p1	GO:0070433, GO:0016607, GO:0007155, GO:0007229, GO:0005886, GO:0005176, GO:0045197, GO:0031965, GO:0005737, GO:0071638, GO:0030056, GO:0005200, GO:0007173, GO:0009925, GO:0032495, GO:0005634, GO:0046579, GO:0045104, GO:0016323, GO:0006605, GO:0071356, GO:0099072, GO:0098794, GO:0045175, GO:0032496, GO:0005604, GO:0098978, GO:0032088
DRYU1_DN2927_c0_g1_i1.p1	GO:0001708, GO:0007276, GO:0007163, GO:0070986, GO:0045167, GO:0016021, GO:0008356, GO:0005886, GO:0003006, GO:0019900, GO:0040001, GO:0007049, GO:0048557, GO:0018108
DRYU1_DN30514_c0_g1_i1.p1	GO:0005730, GO:0071035, GO:0070481, GO:0006397, GO:0090502, GO:0000175, GO:0071038, GO:0005737, GO:0000049, GO:0071039, GO:0005634, GO:0070651, GO:0000176, GO:0071042, GO:0010467, GO:0071051, GO:0000177, GO:0005739, GO:0070478, GO:0071028, GO:0005515, GO:0000467, GO:0004521
DRYU1_DN6228_c2_g2_i1.p1	GO:0005739, GO:0005829, GO:0005737, GO:0006914, GO:0004842, GO:0016567, GO:0046872
DRYU1_DN8435_c0_g2_i2.p1	GO:0000281, GO:0005515, GO:0032153, GO:0051285
DRYU1_DN7409_c0_g1_i3.p1	GO:0016021, GO:0016925, GO:0016020, GO:0005515
DRYU1_DN19545_c0_g1_i1.p1	GO:0032196, GO:0005634, GO:0003677, GO:0006310
DRYU1_DN14469_c0_g2_i1.p1	GO:0005887, GO:0005886, GO:0005509, GO:0003723, GO:0007156
DRYU1_DN15455_c0_g2_i1.p1	GO:0002031, GO:0016060, GO:0002046, GO:0005737, GO:0016028, GO:0007608, GO:0045494, GO:0050896, GO:0007601, GO:0016059, GO:0007165, GO:0002032, GO:0001664
DRYU1_DN28293_c0_g1_i1.p1	GO:0051321, GO:0016740, GO:0005739, GO:0046872
DRYU1_DN10985_c0_g1_i1.p1	GO:0039619, GO:0046740, GO:0005198, GO:0046789
DRYU1_DN3959_c4_g1_i1.p1	GO:0004712, GO:0015629, GO:0006935, GO:0005737, GO:0000281, GO:0003779, GO:0005524, GO:0004674, GO:0006468, GO:0050793, GO:0006970, GO:0030036, GO:0106310, GO:0007165
DRYU1_DN9812_c0_g2_i1.p1	GO:0000943, GO:0005737, GO:0005634, GO:0003676, GO:0015074
DRYU1_DN2912_c0_g1_i1.p1	GO:0006414, GO:0005853, GO:0006749, GO:0005737, GO:0005634, GO:0003746, GO:0006412
DRYU1_DN21928_c0_g1_i1.p1	GO:0016021, GO:0005227, GO:0005886, GO:0055085, GO:0005229
DRYU1_DN7336_c0_g1_i1.p1	GO:0031965, GO:0005829, GO:0005525, GO:0005737, GO:0005634, GO:0034399, GO:0006606, GO:0005635, GO:0061608
DRYU1_DN28878_c0_g1_i1.p1	GO:0000177, GO:0000785, GO:0005730, GO:0005829, GO:0071035, GO:0070478, GO:0005737, GO:0070481, GO:0005634, GO:0071028, GO:0070651, GO:0000176, GO:0003723, GO:0071042, GO:0000467, GO:0071038
DRYU1_DN1526_c0_g1_i2.p1	GO:0005515, GO:0015031, GO:0051028, GO:0005654
DRYU1_DN5692_c0_g1_i2.p1	GO:0097352, GO:1902902, GO:0031410, GO:0005737, GO:0030670, GO:0005515, GO:0016236
DRYU1_DN11828_c0_g1_i1.p1	GO:0042791, GO:0000127, GO:0005634, GO:0001002, GO:0008301, GO:0006384, GO:0001003
DRYU1_DN5135_c0_g1_i5.p1	GO:0000939, GO:0005694, GO:0007129, GO:0072687, GO:0005634, GO:0007064, GO:0005721, GO:0005515, GO:0003682, GO:1990813, GO:0051455, GO:0034991, GO:0051321, GO:0010789, GO:0034990, GO:1990414
DRYU1_DN3107_c0_g1_i1.p1	GO:0045503, GO:0030473, GO:0016021, GO:0040011, GO:0018991, GO:0005634, GO:0009791, GO:0090435, GO:0030334, GO:0040025, GO:0005635, GO:0007399, GO:0005640
DRYU1_DN34519_c0_g1_i1.p1	GO:0016021, GO:1905792, GO:0007638, GO:0005272, GO:0005886, GO:0006813, GO:0050976, GO:0004064, GO:0030424, GO:0035725, GO:1905789
DRYU1_DN8822_c1_g2_i1.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN3348_c0_g1_i10.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN6218_c1_g1_i1.p1	GO:0003779, GO:0000753, GO:0001400, GO:0097271, GO:0032185, GO:0030036
DRYU1_DN1421_c1_g1_i3.p1	GO:0019789, GO:0030683, GO:0019028, GO:0005515, GO:0039547, GO:0039644, GO:0039503
DRYU1_DN2528_c0_g1_i1.p1	GO:0005929, GO:0005524, GO:0034606, GO:0000226, GO:0018095, GO:0070740, GO:0015631
DRYU1_DN12703_c0_g1_i1.p1	GO:0046789, GO:0016021, GO:0019031, GO:0106330, GO:0044650, GO:0106331, GO:0016020, GO:0020002, GO:0030246, GO:0055036, GO:0019064
DRYU1_DN7782_c0_g1_i1.p1	GO:0044174, GO:0044156, GO:0044177, GO:0030683, GO:0005524, GO:0016021, GO:0019031, GO:0044175, GO:0004713, GO:0016020, GO:0044178, GO:0020002, GO:0055036
DRYU1_DN1519_c0_g1_i1.p1	GO:0006897, GO:0003779, GO:0035332, GO:0051307, GO:0005886, GO:0071944, GO:0043065, GO:0016324, GO:0001745, GO:0072659, GO:0060253, GO:0007267, GO:0019094, GO:0001934, GO:0036375, GO:0046621, GO:0045464, GO:0045177, GO:0007112, GO:0120219, GO:0001558, GO:0010669, GO:0022409, GO:0106037, GO:0009798, GO:0016006, GO:0005856, GO:0098592, GO:0045463, GO:0035329, GO:0005912, GO:0007291, GO:0046669, GO:0045169, GO:0042802, GO:0005178, GO:0001751, GO:0032456, GO:0007283
DRYU1_DN15262_c0_g2_i1.p1	GO:0050790, GO:0000480, GO:0042274, GO:2000232, GO:0005730, GO:0000447, GO:0003963, GO:0030490, GO:0005634, GO:0000472, GO:0030686, GO:0005654, GO:0005515, GO:0042254, GO:0032040, GO:0008047, GO:0004521
DRYU1_DN11084_c0_g1_i1.p1	GO:0031462, GO:0072359, GO:0005737, GO:0055105, GO:0032743, GO:0001843, GO:0032434, GO:0007166, GO:0031397, GO:0042327, GO:0031625, GO:0042130, GO:0042692, GO:0031463, GO:0005171, GO:0031464, GO:0040029, GO:0001570
DRYU1_DN20157_c0_g1_i1.p1	GO:0034220, GO:0015276, GO:0016021, GO:0007610, GO:0005886, GO:0050907, GO:0038023
DRYU1_DN7897_c0_g1_i2.p1	GO:0005515, GO:0005634, GO:0002376, GO:0005737
DRYU1_DN27886_c0_g1_i1.p1	GO:0005739, GO:0032543, GO:0005743, GO:0005763, GO:0005840, GO:0003723
DRYU1_DN2885_c0_g1_i1.p1	GO:0005667, GO:0050770, GO:0005634, GO:0090090, GO:0045892, GO:0007268, GO:0050803, GO:0003714, GO:0045202, GO:0001505, GO:0008134
DRYU1_DN21_c0_g7_i1.p1	GO:0051028, GO:0007422, GO:0005525, GO:0000280, GO:0007052, GO:0005886, GO:0009792, GO:0005737, GO:0035046, GO:0000278, GO:0005200, GO:0040016, GO:0035038, GO:0005856, GO:0035044, GO:0005634, GO:0055028, GO:0007417, GO:0048471
DRYU1_DN9435_c0_g1_i1.p1	GO:0046789, GO:0016021, GO:0033644, GO:0106330, GO:0044650, GO:0106331, GO:0016020, GO:0019064
DRYU1_DN2992_c0_g1_i1.p1	GO:0071294, GO:0032570, GO:0042632, GO:0006694, GO:0015485, GO:0043065, GO:0030325, GO:0072655, GO:1905144, GO:0060253, GO:2000379, GO:1903147, GO:0010266, GO:0006869, GO:0007568, GO:0048266, GO:0048265, GO:0033574, GO:0032720, GO:0005497, GO:0044325, GO:0009410, GO:0071222, GO:0008347, GO:0060252, GO:0016021, GO:0010940, GO:0031397, GO:0045019, GO:0008503, GO:0005739, GO:0051901, GO:1903579, GO:0060242, GO:0072656, GO:0005741, GO:0051928, GO:0050810, GO:0071476, GO:0014012, GO:2000853, GO:0006821, GO:0010042
DRYU1_DN21344_c0_g1_i1.p1	GO:0051014, GO:0051301, GO:0015629, GO:0005737, GO:0030042, GO:0051015, GO:0005634, GO:0016363, GO:0007049, GO:0030479
DRYU1_DN1575_c0_g1_i1.p1	GO:0045131, GO:0005829, GO:0005634, GO:0008270, GO:0000398, GO:0000243
DRYU1_DN1695_c0_g1_i1.p1	GO:0005730, GO:0005634, GO:0031934, GO:0005515, GO:0007534, GO:0007049, GO:0034974
DRYU1_DN12408_c0_g1_i1.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN2730_c0_g1_i3.p1	GO:0005739, GO:0005730, GO:0097177, GO:0005737, GO:0032543, GO:0005743, GO:0005515, GO:0005763, GO:0000049, GO:0070131, GO:0005840, GO:0019843, GO:0008283
DRYU1_DN8647_c0_g1_i2.p1	GO:0035194, GO:0031332, GO:0005634, GO:0003727, GO:0007281, GO:0035198
DRYU1_DN28764_c0_g1_i1.p1	GO:0071563, GO:0000329, GO:0000011, GO:0005515, GO:0043495, GO:0005773
DRYU1_DN7241_c0_g1_i3.p1	GO:0039503, GO:0005634, GO:0030683, GO:0005515
DRYU1_DN134_c0_g2_i1.p1	GO:0005178, GO:0030195, GO:0005887, GO:0070062, GO:0010468, GO:0016020, GO:0009986, GO:0007283
DRYU1_DN5826_c0_g1_i2.p1	GO:0018230, GO:0019706, GO:0006612, GO:0016021, GO:0005783, GO:0016020, GO:0005794
DRYU1_DN1361_c0_g1_i3.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN7114_c0_g1_i12.p1	GO:0000413, GO:0005737, GO:0016021, GO:0003755, GO:0006457, GO:0016020, GO:0016018
DRYU1_DN19507_c0_g1_i1.p1	GO:0039660, GO:0019031, GO:0033645, GO:0016020, GO:0039702, GO:0055036
DRYU1_DN4800_c0_g1_i1.p1	GO:0005525, GO:0005737, GO:0003924, GO:0043330, GO:0051607
DRYU1_DN3729_c0_g1_i1.p1	GO:0005903, GO:0005886, GO:0015485, GO:0016324, GO:0001750, GO:0005929, GO:0005902, GO:2000768, GO:0042805, GO:0005887, GO:0045494, GO:0060219, GO:0072112, GO:0045296, GO:0031528, GO:0042622, GO:0005783, GO:0070062, GO:0010842, GO:0009986, GO:0072139, GO:0060042, GO:0071914, GO:0005793, GO:0032420, GO:0005615
DRYU1_DN10842_c0_g2_i1.p1	GO:0005509, GO:0005886, GO:0005887, GO:0007156
DRYU1_DN1262_c0_g1_i1.p1	GO:0005739, GO:0005743, GO:0033108, GO:0070469, GO:0005758, GO:0005747, GO:0004129
DRYU1_DN4928_c0_g1_i1.p1	GO:0005576, GO:0006935, GO:0016021, GO:0099106, GO:0090729, GO:0016020, GO:0005615
DRYU1_DN24042_c0_g1_i1.p1	GO:0030435, GO:0005634, GO:0006310, GO:0005515, GO:0000794, GO:0051321, GO:0042138
DRYU1_DN21713_c0_g1_i1.p1	GO:0005737, GO:0005856, GO:0003779, GO:0006325
DRYU1_DN31875_c0_g1_i1.p1	GO:0016021, GO:0018991, GO:0002119, GO:0040025, GO:0040026, GO:0009792, GO:0016020, GO:0016746, GO:0000902
DRYU1_DN14384_c0_g1_i1.p1	GO:0005525, GO:0016021, GO:0003924, GO:0016320, GO:0005783, GO:0005789
DRYU1_DN31919_c0_g1_i1.p1	GO:0031497, GO:0005829, GO:0051301, GO:0005680, GO:0031145, GO:0051445, GO:0005634, GO:0030071, GO:0016567, GO:0007049, GO:0061630
DRYU1_DN2653_c0_g1_i2.p1	GO:0015031, GO:0043195, GO:0007269, GO:0005546, GO:0006887, GO:0008013, GO:0016081, GO:0051124, GO:0000145, GO:0016080
DRYU1_DN7518_c0_g1_i1.p1	GO:0005829, GO:0005634, GO:0071014, GO:0000974, GO:0005515, GO:0000349, GO:0071004, GO:0045292, GO:0071007
DRYU1_DN33542_c0_g1_i1.p1	GO:0046855, GO:0015031, GO:0046856, GO:0000329, GO:0005783, GO:0004439, GO:0005789
DRYU1_DN155_c0_g1_i9.p1	GO:0005737, GO:0005634, GO:0035064, GO:0003682, GO:0031507, GO:0003727, GO:0003677, GO:0007062
DRYU1_DN285_c0_g1_i1.p1	GO:0005634, GO:0030435, GO:0008168, GO:0032259
DRYU1_DN6759_c0_g1_i3.p1	GO:0005829, GO:0005737, GO:0045335, GO:0008253, GO:0046037, GO:0046872, GO:0046040, GO:0046054
DRYU1_DN6540_c0_g1_i1.p1	GO:0005576, GO:0022857, GO:0055085
DRYU1_DN8707_c0_g2_i1.p1	GO:0005634, GO:0003677, GO:0007417
DRYU1_DN15291_c0_g2_i1.p1	GO:0000324, GO:0005737, GO:0016021, GO:0005634, GO:0005515, GO:0007049, GO:0005774
DRYU1_DN18510_c0_g1_i2.p1	GO:0015629, GO:0005737, GO:0005524, GO:0061631, GO:0016567, GO:0008270
DRYU1_DN19232_c0_g1_i1.p1	GO:0097400, GO:0070534, GO:0043123, GO:0005737, GO:0033209, GO:0046330, GO:0048255, GO:0006915, GO:0008284, GO:0051092, GO:0023019, GO:0008270, GO:0042981
DRYU1_DN35144_c0_g1_i1.p1	GO:0004712, GO:0005737, GO:0005524, GO:0005634, GO:0004674, GO:0006468, GO:0046872, GO:0106310
DRYU1_DN28494_c0_g1_i1.p1	GO:0005739, GO:0051301, GO:0007155, GO:0034080, GO:0006355, GO:0006915, GO:0008022, GO:0007165, GO:0007049
DRYU1_DN5179_c0_g1_i3.p1	GO:0005814, GO:0005856, GO:0005737, GO:0035869, GO:0036064, GO:0030425, GO:0046872, GO:0060271
DRYU1_DN5432_c0_g1_i17.p1	GO:0015629, GO:1990904, GO:0071360, GO:0005886, GO:0003727, GO:0032587, GO:0032727, GO:0005737, GO:0032728, GO:0140374, GO:0032755, GO:0002735, GO:0005524, GO:0003724, GO:0016887, GO:0005923, GO:0030334, GO:0002230, GO:0003725, GO:0039529, GO:0060760, GO:0042995, GO:0032760, GO:0008270
DRYU1_DN6684_c0_g1_i1.p1	GO:0015031, GO:0006501, GO:0005829, GO:0005737, GO:0005515, GO:0016236, GO:0051321, GO:0034045, GO:0000407
DRYU1_DN17645_c0_g1_i1.p1	GO:0045292, GO:0003723, GO:0005730
DRYU1_DN107_c0_g1_i18.p1	GO:0004867, GO:0005576, GO:0010951
DRYU1_DN33835_c0_g1_i1.p1	GO:0035194, GO:0000785, GO:0005634, GO:0035064, GO:0003682, GO:0035097, GO:0000793, GO:0003677, GO:0006357, GO:0046872, GO:0034729, GO:0006325
DRYU1_DN15250_c0_g1_i2.p1	GO:0006511, GO:0004843, GO:0005737, GO:0016579, GO:0005886
DRYU1_DN7179_c0_g1_i1.p1	GO:0061629, GO:2000781, GO:0008340, GO:2000819, GO:0005634, GO:0016514, GO:0030071, GO:0045944, GO:0003714, GO:0003713, GO:0000122, GO:0006338, GO:2000045
DRYU1_DN4208_c0_g1_i2.p1	GO:0090630, GO:0005829, GO:0005737, GO:0005096, GO:0006886, GO:0016192
DRYU1_DN22151_c0_g1_i1.p1	GO:0016021, GO:0043005, GO:0007268, GO:0005886, GO:0003151, GO:0045202, GO:0042923, GO:0007218, GO:0003214, GO:0001601, GO:0001602
DRYU1_DN869_c0_g1_i2.p1	GO:0120104, GO:0005829, GO:0036391, GO:0051301, GO:0005525, GO:0015630, GO:0000281, GO:0034613, GO:0005634, GO:0003924, GO:0060090, GO:0005515, GO:0032151, GO:0031097, GO:0032153, GO:0007049
DRYU1_DN4584_c0_g1_i2.p1	GO:0006937, GO:0051015, GO:0048306, GO:0003009, GO:0005509, GO:0005861
DRYU1_DN1338_c0_g2_i1.p1	GO:0006013, GO:0004559, GO:0005764, GO:0030587, GO:0006464, GO:0046872, GO:0030246, GO:0032009
DRYU1_DN25126_c0_g1_i1.p1	GO:0005246, GO:0051924, GO:0040011, GO:0040017, GO:0018991, GO:0070588, GO:0016021, GO:0035418, GO:0005245, GO:0005886, GO:0043050, GO:0007210, GO:0034765, GO:0005891, GO:0005789
DRYU1_DN4223_c0_g1_i1.p1	GO:0030659, GO:0009435, GO:0004515, GO:0031410, GO:0005737, GO:0005524, GO:0030424, GO:0000309, GO:0005794, GO:0000139
DRYU1_DN9377_c0_g1_i8.p1	GO:0044167, GO:0044165, GO:0044177, GO:0019062, GO:0030683, GO:0003964, GO:0016021, GO:0004523, GO:0046718, GO:0039654, GO:0003676, GO:0016020, GO:0044178, GO:0046872, GO:0004190, GO:0055036
DRYU1_DN21866_c0_g1_i1.p1	GO:0050790, GO:0005829, GO:0005737, GO:0005096, GO:0005886, GO:0008277
